NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	4	4.03970193862915	0.020972863	Yes	
row_1	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	29	3.339024543762207	0.037077427	Yes	
row_2	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	33	3.27701735496521	0.05410523	Yes	
row_3	MCC	MCC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:6935]	48	3.0255911350250244	0.06915876	Yes	
row_4	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	62	2.9471075534820557	0.08385968	Yes	
row_5	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	113	2.5951716899871826	0.09451245	Yes	
row_6	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	116	2.5906763076782227	0.10799604	Yes	
row_7	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	136	2.4999489784240723	0.119992316	Yes	
row_8	FRZB	frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]	252	2.092031717300415	0.124137945	Yes	
row_9	BAMBI	BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]	256	2.0816521644592285	0.13488941	Yes	
row_10	RSPO2	R-spondin 2 [Source:HGNC Symbol;Acc:HGNC:28583]	261	2.0688865184783936	0.14551437	Yes	
row_11	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	312	1.946065068244934	0.15275896	Yes	
row_12	LRP4	LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]	317	1.934190034866333	0.16267668	Yes	
row_13	RSPO1	R-spondin 1 [Source:HGNC Symbol;Acc:HGNC:21679]	352	1.8662523031234741	0.17045368	Yes	
row_14	TLE1	TLE family member 1, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11837]	382	1.8038588762283325	0.17820042	Yes	
row_15	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]	410	1.7681777477264404	0.18587874	Yes	
row_16	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]	421	1.7560298442840576	0.19450423	Yes	
row_17	JRK	Jrk helix-turn-helix protein [Source:HGNC Symbol;Acc:HGNC:6199]	449	1.694714903831482	0.20179683	Yes	
row_18	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	450	1.6926625967025757	0.21068427	Yes	
row_19	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	477	1.6624698638916016	0.21786703	Yes	
row_20	DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	541	1.5916106700897217	0.22247747	Yes	
row_21	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	565	1.571521282196045	0.2293611	Yes	
row_22	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	696	1.4396620988845825	0.22918941	Yes	
row_23	CTNND2	catenin delta 2 [Source:HGNC Symbol;Acc:HGNC:2516]	705	1.4262056350708008	0.23620206	Yes	
row_24	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	738	1.394749641418457	0.24162234	Yes	
row_25	ZBED3	zinc finger BED-type containing 3 [Source:HGNC Symbol;Acc:HGNC:20711]	741	1.3942217826843262	0.24882387	Yes	
row_26	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	785	1.3493579626083374	0.2533517	Yes	
row_27	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	813	1.3302091360092163	0.2587304	Yes	
row_28	ANKRD6	ankyrin repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:17280]	825	1.323669195175171	0.2650263	Yes	
row_29	MESP1	mesoderm posterior bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:29658]	843	1.3108229637145996	0.27089792	Yes	
row_30	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	844	1.3106228113174438	0.27777943	Yes	
row_31	ADGRA2	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]	864	1.2956892251968384	0.28345266	Yes	
row_32	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	917	1.2511889934539795	0.28692982	Yes	
row_33	TMEM64	transmembrane protein 64 [Source:HGNC Symbol;Acc:HGNC:25441]	988	1.2145092487335205	0.28914398	Yes	
row_34	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	1002	1.2060048580169678	0.29470313	Yes	
row_35	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	1015	1.1971977949142456	0.30027547	Yes	
row_36	LGR6	leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719]	1024	1.1923409700393677	0.30606022	Yes	
row_37	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	1099	1.1498700380325317	0.30769712	Yes	
row_38	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	1108	1.1443836688995361	0.31323004	Yes	
row_39	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	1119	1.136511206626892	0.3186027	Yes	
row_40	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	1240	1.0793840885162354	0.31713402	Yes	
row_41	DACT1	dishevelled binding antagonist of beta catenin 1 [Source:HGNC Symbol;Acc:HGNC:17748]	1259	1.0736792087554932	0.32170105	Yes	
row_42	LGR4	leucine rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299]	1295	1.0562363862991333	0.32516554	Yes	
row_43	AMER1	APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:HGNC:26837]	1301	1.0547680854797363	0.33040634	Yes	
row_44	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	1492	0.9849506616592407	0.3242791	Yes	
row_45	EDNRB	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	1543	0.9657377600669861	0.32637644	Yes	
row_46	PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	1581	0.9491278529167175	0.3291596	Yes	
row_47	NRARP	NOTCH regulated ankyrin repeat protein [Source:HGNC Symbol;Acc:HGNC:33843]	1607	0.9429320096969604	0.33262384	Yes	
row_48	LMBR1L	limb development membrane protein 1 like [Source:HGNC Symbol;Acc:HGNC:18268]	1614	0.9409813284873962	0.33720773	Yes	
row_49	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	1739	0.8998129963874817	0.33455834	Yes	
row_50	UBR5	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]	1756	0.8922097682952881	0.33829147	Yes	
row_51	MKS1	MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121]	1793	0.8825315237045288	0.34078443	Yes	
row_52	TLE2	TLE family member 2, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11838]	1840	0.8739576935768127	0.34263772	Yes	
row_53	TNN	tenascin N [Source:HGNC Symbol;Acc:HGNC:22942]	1848	0.872179388999939	0.3468009	Yes	
row_54	LRRK1	leucine rich repeat kinase 1 [Source:HGNC Symbol;Acc:HGNC:18608]	1851	0.8710634708404541	0.35125554	Yes	
row_55	TBX18	T-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11595]	1868	0.8655046224594116	0.35484844	Yes	
row_56	DACT3	dishevelled binding antagonist of beta catenin 3 [Source:HGNC Symbol;Acc:HGNC:30745]	1957	0.8434285521507263	0.3540438	Yes	
row_57	BCL9L	BCL9 like [Source:HGNC Symbol;Acc:HGNC:23688]	1981	0.8335150480270386	0.3570525	Yes	
row_58	TMEM88	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	1995	0.8304268717765808	0.36063963	Yes	
row_59	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	1996	0.8303610682487488	0.3649995	Yes	
row_60	FZD3	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	2113	0.799161434173584	0.3622974	Yes	
row_61	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	2150	0.7878656983375549	0.3642933	Yes	
