NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROPN1L	rhophilin associated tail protein 1 like [Source:HGNC Symbol;Acc:HGNC:24060]	10	3.607433795928955	0.03847846	Yes	
row_1	ENKUR	enkurin, TRPC channel interacting protein [Source:HGNC Symbol;Acc:HGNC:28388]	52	3.0140464305877686	0.06870084	Yes	
row_2	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	153	2.434645175933838	0.089166015	Yes	
row_3	SEPTIN4	septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]	280	2.024968385696411	0.103659816	Yes	
row_4	ARMC12	armadillo repeat containing 12 [Source:HGNC Symbol;Acc:HGNC:21099]	285	2.0205206871032715	0.12530605	Yes	
row_5	CFAP221	cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720]	305	1.9600143432617188	0.1454117	Yes	
row_6	ENO4	enolase 4 [Source:HGNC Symbol;Acc:HGNC:31670]	335	1.8963459730148315	0.16423759	Yes	
row_7	SLC9B1	solute carrier family 9 member B1 [Source:HGNC Symbol;Acc:HGNC:24244]	376	1.8128950595855713	0.18151046	Yes	
row_8	DNAI4	dynein axonemal intermediate chain 4 [Source:HGNC Symbol;Acc:HGNC:26252]	408	1.7704178094863892	0.1988545	Yes	
row_9	TTLL3	tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483]	526	1.6043351888656616	0.20932403	Yes	
row_10	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	561	1.57375967502594	0.22436118	Yes	
row_11	NME5	NME/NM23 family member 5 [Source:HGNC Symbol;Acc:HGNC:7853]	587	1.5429457426071167	0.23959583	Yes	
row_12	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	635	1.4928467273712158	0.2529894	Yes	
row_13	CFAP52	cilia and flagella associated protein 52 [Source:HGNC Symbol;Acc:HGNC:16053]	652	1.4777582883834839	0.26804927	Yes	
row_14	DNAAF4	dynein axonemal assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21493]	656	1.4747517108917236	0.28384382	Yes	
row_15	RSPH9	radial spoke head component 9 [Source:HGNC Symbol;Acc:HGNC:21057]	770	1.3681731224060059	0.29199177	Yes	
row_16	CATSPERE	catsper channel auxiliary subunit epsilon [Source:HGNC Symbol;Acc:HGNC:28491]	773	1.365543246269226	0.30666262	Yes	
row_17	PLTP	phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093]	993	1.2092911005020142	0.30683362	Yes	
row_18	QRICH2	glutamine rich 2 [Source:HGNC Symbol;Acc:HGNC:25326]	1057	1.173010230064392	0.31581903	Yes	
row_19	MNS1	meiosis specific nuclear structural 1 [Source:HGNC Symbol;Acc:HGNC:29636]	1062	1.1667500734329224	0.32821888	Yes	
row_20	DNHD1	dynein heavy chain domain 1 [Source:HGNC Symbol;Acc:HGNC:26532]	1101	1.1491025686264038	0.3384209	Yes	
row_21	RNASE10	ribonuclease A family member 10 (inactive) [Source:HGNC Symbol;Acc:HGNC:19275]	1257	1.0740013122558594	0.3409041	Yes	
row_22	RGN	regucalcin [Source:HGNC Symbol;Acc:HGNC:9989]	1265	1.0693122148513794	0.3520716	Yes	
row_23	SPEF1	sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]	1321	1.0473504066467285	0.3601683	Yes	
row_24	DNAAF11	dynein axonemal assembly factor 11 [Source:HGNC Symbol;Acc:HGNC:16725]	1345	1.039795160293579	0.37007183	Yes	
row_25	DNAH9	dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]	1552	0.9609225988388062	0.36832026	Yes	
row_26	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	1604	0.943444550037384	0.3755277	Yes	
row_27	TACR2	tachykinin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11527]	1631	0.935693621635437	0.38412675	Yes	
row_28	KIF27	kinesin family member 27 [Source:HGNC Symbol;Acc:HGNC:18632]	1829	0.8753557205200195	0.38197967	Yes	
row_29	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	1929	0.8522167801856995	0.3853661	Yes	
row_30	TSSK4	testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]	1937	0.8488883972167969	0.39414644	Yes	
row_31	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	2014	0.8251906633377075	0.3985977	Yes	
row_32	CATSPERZ	catsper channel auxiliary subunit zeta [Source:HGNC Symbol;Acc:HGNC:19231]	2180	0.7793437242507935	0.39729947	Yes	
row_33	DAW1	dynein assembly factor with WD repeats 1 [Source:HGNC Symbol;Acc:HGNC:26383]	2241	0.7661520838737488	0.40205565	Yes	
row_34	CACNA1I	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	2275	0.7578513026237488	0.4083155	Yes	
row_35	VPS13A	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]	2287	0.7553446888923645	0.41584668	Yes	
row_36	CFAP206	cilia and flagella associated protein 206 [Source:HGNC Symbol;Acc:HGNC:21405]	2307	0.749244749546051	0.42283964	Yes	
row_37	BBS1	Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966]	2316	0.7482812404632568	0.4304714	Yes	
row_38	MEIG1	meiosis/spermiogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23429]	2373	0.7351670861244202	0.43512806	Yes	
