NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	4	4.03970193862915	0.0918956	Yes	
row_1	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	31	3.335118532180786	0.16643085	Yes	
row_2	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	79	2.758070468902588	0.22657304	Yes	
row_3	TBX6	T-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:11605]	105	2.611513376235962	0.28466427	Yes	
row_4	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	113	2.5951716899871826	0.34343946	Yes	
row_5	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	131	2.512573719024658	0.39974388	Yes	
row_6	IHH	Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956]	471	1.6661149263381958	0.4178415	Yes	
row_7	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	474	1.6637965440750122	0.45566902	Yes	
row_8	MESP1	mesoderm posterior bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:29658]	843	1.3108229637145996	0.4639614	Yes	
row_9	DISP1	dispatched RND transporter family member 1 [Source:HGNC Symbol;Acc:HGNC:19711]	1426	1.0063345432281494	0.45274714	Yes	
row_10	NRARP	NOTCH regulated ankyrin repeat protein [Source:HGNC Symbol;Acc:HGNC:33843]	1607	0.9429320096969604	0.4636854	Yes	
row_11	MESP2	mesoderm posterior bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29659]	1626	0.9374324679374695	0.48400804	Yes	
row_12	EFNB1	ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226]	2077	0.8073031902313232	0.4760034	Yes	
row_13	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	2078	0.8071408271789551	0.49441126	Yes	
row_14	RIPPLY3	ripply transcriptional repressor 3 [Source:HGNC Symbol;Acc:HGNC:3047]	2441	0.7226501703262329	0.48964182	Yes	
row_15	TDRKH	tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]	2902	0.6256518363952637	0.47690737	Yes	
row_16	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	3039	0.605182945728302	0.48272574	Yes	
