NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTN	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	2838	0.638416588306427	-0.14115089	No	
row_1	STOX2	storkhead box 2 [Source:HGNC Symbol;Acc:HGNC:25450]	3549	0.5217278003692627	-0.16216663	No	
row_2	GHRL	ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]	3948	0.4672755300998688	-0.16704337	No	
row_3	TPPP3	tubulin polymerization promoting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:24162]	4207	0.44040176272392273	-0.16477461	No	
row_4	EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	5315	0.30892178416252136	-0.21746685	No	
row_5	PARP1	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	5743	0.26157307624816895	-0.23216735	No	
row_6	NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	6102	0.22638526558876038	-0.24421273	No	
row_7	NDP	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	8018	0.04362090677022934	-0.35474747	No	
row_8	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	8283	0.022396402433514595	-0.3693387	No	
row_9	ASH1L	ASH1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:19088]	8512	0.0026904353871941566	-0.3825978	No	
row_10	GJB2	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	8667	0.0	-0.39162531	No	
row_11	PARP2	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	9211	-0.03760999068617821	-0.4219707	No	
row_12	MEN1	menin 1 [Source:HGNC Symbol;Acc:HGNC:7010]	9244	-0.04047895595431328	-0.4222479	No	
row_13	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	9700	-0.07819616049528122	-0.44583184	No	
row_14	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	11165	-0.2220848947763443	-0.52288085	No	
row_15	LDOC1	LDOC1 regulator of NFKB signaling [Source:HGNC Symbol;Acc:HGNC:6548]	12162	-0.32805168628692627	-0.5683108	No	
row_16	DEDD	death effector domain containing [Source:HGNC Symbol;Acc:HGNC:2755]	12222	-0.33488887548446655	-0.5585436	No	
row_17	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	12801	-0.3992829918861389	-0.57665724	No	
row_18	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	13186	-0.4383496940135956	-0.58185565	No	
row_19	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	14071	-0.5522602796554565	-0.61186546	No	
row_20	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	14593	-0.6446313261985779	-0.6169482	Yes	
row_21	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	14692	-0.6653225421905518	-0.5964174	Yes	
row_22	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	14879	-0.7032309174537659	-0.5795482	Yes	
row_23	CYP27B1	cytochrome P450 family 27 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2606]	16066	-1.0611706972122192	-0.6071629	Yes	
row_24	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	16459	-1.3244850635528564	-0.57783425	Yes	
row_25	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	16532	-1.3979647159576416	-0.5268453	Yes	
row_26	DAZAP1	DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]	16642	-1.5439956188201904	-0.47225803	Yes	
row_27	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	16766	-1.725743293762207	-0.41131374	Yes	
row_28	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	16930	-2.2026240825653076	-0.33388087	Yes	
row_29	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	16986	-2.4866812229156494	-0.2388988	Yes	
row_30	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	17031	-2.751556634902954	-0.13281122	Yes	
row_31	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	17067	-3.4490103721618652	0.0013483949	Yes	
