NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	3591	0.5163430571556091	-0.18271068	No	
row_1	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	4964	0.3496062755584717	-0.24425301	No	
row_2	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	6818	0.1543041169643402	-0.34461832	No	
row_3	COQ9	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	6934	0.14275456964969635	-0.343621	No	
row_4	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684]	7474	0.09175730496644974	-0.37027192	No	
row_5	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	7605	0.080282062292099	-0.37354454	No	
row_6	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	7771	0.0645238384604454	-0.37972605	No	
row_7	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	7781	0.0637955367565155	-0.37679267	No	
row_8	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	8111	0.036013662815093994	-0.39414498	No	
row_9	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	8166	0.03195304051041603	-0.39558005	No	
row_10	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	8273	0.02314656600356102	-0.40054443	No	
row_11	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]	8428	0.009205235168337822	-0.409082	No	
row_12	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	8671	0.0	-0.42328304	No	
row_13	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	9423	-0.0554937943816185	-0.46434218	No	
row_14	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	9680	-0.07685939967632294	-0.47519442	No	
row_15	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	9785	-0.08794976770877838	-0.47652528	No	
row_16	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	10450	-0.15639066696166992	-0.5070045	No	
row_17	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	11233	-0.22837598621845245	-0.5405023	Yes	
row_18	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	11282	-0.23266993463039398	-0.53069454	Yes	
