NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	56	2.9798853397369385	0.01287091	No	
row_1	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	227	2.15130352973938	0.014439347	No	
row_2	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	422	1.7477850914001465	0.012382242	No	
row_3	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	482	1.658136248588562	0.017884703	No	
row_4	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	501	1.635970115661621	0.02571056	No	
row_5	HOXA13	homeobox A13 [Source:HGNC Symbol;Acc:HGNC:5102]	639	1.4915050268173218	0.025657136	No	
row_6	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	1010	1.2012156248092651	0.0101358015	No	
row_7	MIS12	MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24967]	1219	1.0860841274261475	0.0036448645	No	
row_8	ANKRD53	ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]	1316	1.048828125	0.0036274781	No	
row_9	EML4	EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]	1405	1.012863039970398	0.0038913328	No	
row_10	RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	1723	0.903555154800415	-0.0100898435	No	
row_11	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	1782	0.8864468336105347	-0.008725358	No	
row_12	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	1906	0.8568263053894043	-0.011396576	No	
row_13	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	1930	0.8513808846473694	-0.008136516	No	
row_14	SLF1	SMC5-SMC6 complex localization factor 1 [Source:HGNC Symbol;Acc:HGNC:25408]	2155	0.7864208817481995	-0.017211208	No	
row_15	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	2200	0.7747805714607239	-0.015619603	No	
row_16	MTBP	MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417]	2703	0.6657204627990723	-0.041922133	No	
row_17	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]	2833	0.6393107771873474	-0.046134174	No	
row_18	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	2863	0.6338547468185425	-0.044414997	No	
row_19	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	2874	0.6316367983818054	-0.041575316	No	
row_20	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	3129	0.5885985493659973	-0.053514324	No	
row_21	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	3155	0.5836272239685059	-0.051829923	No	
row_22	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	3158	0.5834148526191711	-0.048775673	No	
row_23	CCDC8	coiled-coil domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25367]	3168	0.5821343660354614	-0.046145648	No	
row_24	KLHDC8B	kelch domain containing 8B [Source:HGNC Symbol;Acc:HGNC:28557]	3287	0.5633968710899353	-0.050114922	No	
row_25	MAU2	MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]	3385	0.5471323728561401	-0.052920878	No	
row_26	NCAPG2	non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]	3418	0.5431230068206787	-0.05187406	No	
row_27	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	3425	0.5414106845855713	-0.049286723	No	
row_28	DMRT1	doublesex and mab-3 related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2934]	3481	0.5326967835426331	-0.049667627	No	
row_29	CUL9	cullin 9 [Source:HGNC Symbol;Acc:HGNC:15982]	3507	0.5288166403770447	-0.048281364	No	
row_30	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	3519	0.526655375957489	-0.046072334	No	
row_31	AURKC	aurora kinase C [Source:HGNC Symbol;Acc:HGNC:11391]	3725	0.49864688515663147	-0.055579796	No	
row_32	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	3848	0.48164594173431396	-0.06023219	No	
row_33	LRP5	LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]	3928	0.4700733423233032	-0.062384345	No	
row_34	PDS5B	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	3977	0.46415993571281433	-0.06272079	No	
row_35	CEP85	centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309]	4039	0.45555856823921204	-0.06387894	No	
row_36	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	4063	0.45333778858184814	-0.06278402	No	
row_37	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	4153	0.44486570358276367	-0.06566939	No	
row_38	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	4228	0.4371836185455322	-0.0677024	No	
row_39	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	4480	0.4080115258693695	-0.08044488	No	
row_40	PCID2	PCI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25653]	4484	0.40762123465538025	-0.07840646	No	
row_41	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	4599	0.39420923590660095	-0.08305759	No	
row_42	NCAPD2	non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]	4602	0.3940175771713257	-0.081033565	No	
row_43	SIRT7	sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]	4768	0.37440958619117737	-0.08883245	No	
row_44	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	4786	0.3710711598396301	-0.08782737	No	
row_45	CEP192	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]	4924	0.35469284653663635	-0.09406446	No	
row_46	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	4952	0.35095348954200745	-0.09376489	No	
row_47	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	5008	0.34475746750831604	-0.09516809	No	
