NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	29	3.339024543762207	0.037007764	Yes	
row_1	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	33	3.27701735496521	0.07482866	Yes	
row_2	MCC	MCC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:6935]	48	3.0255911350250244	0.109086014	Yes	
row_3	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	136	2.4999489784240723	0.13294673	Yes	
row_4	FRZB	frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]	252	2.092031717300415	0.1504276	Yes	
row_5	LRP4	LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]	317	1.934190034866333	0.16908357	Yes	
row_6	TLE1	TLE family member 1, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11837]	382	1.8038588762283325	0.1862283	Yes	
row_7	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]	410	1.7681777477264404	0.20513964	Yes	
row_8	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	450	1.6926625967025757	0.22246823	Yes	
row_9	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	477	1.6624698638916016	0.2402128	Yes	
row_10	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	696	1.4396620988845825	0.24405977	Yes	
row_11	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	785	1.3493579626083374	0.2545202	Yes	
row_12	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	813	1.3302091360092163	0.26835322	Yes	
row_13	ANKRD6	ankyrin repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:17280]	825	1.323669195175171	0.28305322	Yes	
row_14	MESP1	mesoderm posterior bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:29658]	843	1.3108229637145996	0.29725072	Yes	
row_15	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	844	1.3106228113174438	0.31244767	Yes	
row_16	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	917	1.2511889934539795	0.32271266	Yes	
row_17	TMEM64	transmembrane protein 64 [Source:HGNC Symbol;Acc:HGNC:25441]	988	1.2145092487335205	0.3326702	Yes	
row_18	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	1002	1.2060048580169678	0.34588802	Yes	
row_19	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	1099	1.1498700380325317	0.35356396	Yes	
row_20	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	1108	1.1443836688995361	0.36636192	Yes	
row_21	DACT1	dishevelled binding antagonist of beta catenin 1 [Source:HGNC Symbol;Acc:HGNC:17748]	1259	1.0736792087554932	0.3699723	Yes	
row_22	AMER1	APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:HGNC:26837]	1301	1.0547680854797363	0.37978652	Yes	
row_23	PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	1581	0.9491278529167175	0.37435108	Yes	
row_24	LMBR1L	limb development membrane protein 1 like [Source:HGNC Symbol;Acc:HGNC:18268]	1614	0.9409813284873962	0.38337627	Yes	
row_25	TLE2	TLE family member 2, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11838]	1840	0.8739576935768127	0.3802513	Yes	
row_26	TNN	tenascin N [Source:HGNC Symbol;Acc:HGNC:22942]	1848	0.872179388999939	0.38995188	Yes	
row_27	TBX18	T-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11595]	1868	0.8655046224594116	0.39886796	Yes	
row_28	DACT3	dishevelled binding antagonist of beta catenin 3 [Source:HGNC Symbol;Acc:HGNC:30745]	1957	0.8434285521507263	0.40346208	Yes	
row_29	TMEM88	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	1995	0.8304268717765808	0.41091073	Yes	
row_30	SOX13	SRY-box transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:11192]	2168	0.7823765277862549	0.409847	Yes	
row_31	AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	2390	0.7322145104408264	0.4053142	Yes	
row_32	ZNRF3	zinc and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:18126]	2466	0.7162086963653564	0.4091992	Yes	
row_33	UBAC2	UBA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20486]	2543	0.69759601354599	0.4128095	Yes	
row_34	SFRP2	secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]	2674	0.6723942756652832	0.41294545	Yes	
row_35	TMEM170B	transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]	2719	0.6602448225021362	0.41800833	Yes	
row_36	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	2771	0.651205837726593	0.42255387	Yes	
row_37	LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	2783	0.649539053440094	0.42943722	Yes	
row_38	MLLT3	MLLT3 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]	2965	0.6162590980529785	0.42591697	Yes	
row_39	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	3018	0.6074399948120117	0.42989615	Yes	
row_40	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	3095	0.5951355695724487	0.43231836	Yes	
row_41	KREMEN1	kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:17550]	3137	0.5868830680847168	0.43670738	Yes	
row_42	DKKL1	dickkopf like acrosomal protein 1 [Source:HGNC Symbol;Acc:HGNC:16528]	3254	0.5667687058448792	0.43644357	Yes	
row_43	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	3273	0.5649475455284119	0.44193357	Yes	
row_44	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	3564	0.5201032757759094	0.43087527	No	
