NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	31	3.335118532180786	0.1013489	Yes	
row_1	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	86	2.6885578632354736	0.181349	Yes	
row_2	SEMA4G	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	130	2.5140175819396973	0.25659493	Yes	
row_3	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	131	2.512573719024658	0.33431727	Yes	
row_4	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	554	1.5803108215332031	0.3584596	Yes	
row_5	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	563	1.572852373123169	0.40664417	Yes	
row_6	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	633	1.4953539371490479	0.44885498	Yes	
row_7	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	1055	1.1739606857299805	0.46048614	Yes	
row_8	MEGF8	multiple EGF like domains 8 [Source:HGNC Symbol;Acc:HGNC:3233]	1106	1.1460522413253784	0.49300587	Yes	
row_9	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	1204	1.0937025547027588	0.52115065	Yes	
row_10	SEMA6C	semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]	1519	0.9746414422988892	0.5328896	Yes	
row_11	PLXNA4	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]	1638	0.9327020049095154	0.55482286	Yes	
row_12	SEMA6A	semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]	2142	0.7894223928451538	0.5497513	Yes	
row_13	SEMA6B	semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]	2236	0.767210841178894	0.5680311	Yes	
row_14	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	2414	0.7281180620193481	0.5801766	Yes	
row_15	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	2877	0.6313721537590027	0.57261986	No	
row_16	SEMA3D	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	3284	0.5636488795280457	0.56625146	No	
row_17	SEMA3E	semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]	3482	0.5326892137527466	0.57117915	No	
row_18	SEMA6D	semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]	3679	0.5038501620292664	0.57527333	No	
row_19	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	5778	0.2578657269477844	0.46024343	No	
row_20	SEMA4A	semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729]	5964	0.2390759438276291	0.45679224	No	
row_21	SEMA4C	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]	6073	0.22899578511714935	0.45754376	No	
row_22	SEMA7A	semaphorin 7A (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	6613	0.17466485500335693	0.43134496	No	
row_23	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	7638	0.07620701193809509	0.37366477	No	
row_24	SEMA4F	ssemaphorin 4F [Source:HGNC Symbol;Acc:HGNC:10734]	7978	0.0465051531791687	0.35522765	No	
row_25	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	8283	0.022396402433514595	0.3380968	No	
row_26	RYK	receptor like tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10481]	10173	-0.12727846205234528	0.23128113	No	
row_27	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	13039	-0.425086110830307	0.07645439	No	
row_28	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	13376	-0.4602694511413574	0.07099226	No	
row_29	DSCAM	DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039]	13886	-0.5234184265136719	0.057340488	No	
row_30	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]	15094	-0.755878210067749	0.009955458	No	
row_31	PLXNA3	plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]	15114	-0.7610111832618713	0.032382116	No	
row_32	SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	15254	-0.7980578541755676	0.048919108	No	
row_33	SEMA3A	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	15626	-0.8911354541778564	0.05473305	No	
row_34	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	15942	-1.0035486221313477	0.067307614	No	
