NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	50	3.020717144012451	0.04985399	Yes	
row_1	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	56	2.9798853397369385	0.10164109	Yes	
row_2	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	136	2.4999489784240723	0.14068763	Yes	
row_3	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	206	2.230713129043579	0.17561674	Yes	
row_4	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	227	2.15130352973938	0.21203999	Yes	
row_5	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	342	1.8855246305465698	0.23828931	Yes	
row_6	ERFE	erythroferrone [Source:HGNC Symbol;Acc:HGNC:26727]	398	1.784203290939331	0.26623794	Yes	
row_7	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	482	1.658136248588562	0.29033637	Yes	
row_8	PPP1R3E	protein phosphatase 1 regulatory subunit 3E [Source:HGNC Symbol;Acc:HGNC:14943]	505	1.6288574934005737	0.3175109	Yes	
row_9	GPER1	G protein-coupled estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:4485]	533	1.5988608598709106	0.34386706	Yes	
row_10	PPP1R3G	protein phosphatase 1 regulatory subunit 3G [Source:HGNC Symbol;Acc:HGNC:14945]	694	1.4404207468032837	0.35963148	Yes	
row_11	C1QTNF3	C1q and TNF related 3 [Source:HGNC Symbol;Acc:HGNC:14326]	737	1.3951572179794312	0.38154516	Yes	
row_12	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	810	1.3307920694351196	0.40056938	Yes	
row_13	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	826	1.3236126899719238	0.42282066	Yes	
row_14	SIK1	salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142]	847	1.3073632717132568	0.4444939	Yes	
row_15	PPP1R3B	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	1114	1.1407835483551025	0.4487868	Yes	
row_16	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	1140	1.1227636337280273	0.46693957	Yes	
row_17	PASK	PAS domain containing serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:17270]	1983	0.8328802585601807	0.4319727	No	
row_18	CRY1	cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]	2060	0.8118613958358765	0.44169202	No	
row_19	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	2156	0.785270631313324	0.44982907	No	
row_20	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	2413	0.7286530137062073	0.4475071	No	
