NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	1010	1.2012156248092651	-0.041791927	No	
row_1	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	1906	0.8568263053894043	-0.08189013	No	
row_2	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	1930	0.8513808846473694	-0.07067787	No	
row_3	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	2863	0.6338547468185425	-0.116248064	No	
row_4	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	2874	0.6316367983818054	-0.10751343	No	
row_5	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	3129	0.5885985493659973	-0.11379412	No	
row_6	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	3155	0.5836272239685059	-0.1066522	No	
row_7	NCAPG2	non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]	3418	0.5431230068206787	-0.11407565	No	
row_8	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	3519	0.526655375957489	-0.11219482	No	
row_9	PUM1	pumilio RNA binding family member 1 [Source:HGNC Symbol;Acc:HGNC:14957]	3610	0.5135433673858643	-0.10991819	No	
row_10	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	3890	0.47559264302253723	-0.11934039	No	
row_11	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	4153	0.44486570358276367	-0.12821428	No	
row_12	PCID2	PCI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25653]	4484	0.40762123465538025	-0.1416455	No	
row_13	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	5016	0.3442075550556183	-0.16785865	No	
row_14	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	5104	0.33229854702949524	-0.16808069	No	
row_15	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]	5109	0.3317808210849762	-0.1634188	No	
row_16	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]	5163	0.3259367048740387	-0.16173097	No	
row_17	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	5208	0.32085809111595154	-0.15958771	No	
row_18	SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	5210	0.3207976520061493	-0.15491115	No	
row_19	INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	5244	0.31727734208106995	-0.15217246	No	
row_20	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:HGNC Symbol;Acc:HGNC:11107]	5252	0.31641343235969543	-0.14791423	No	
row_21	RAD18	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	5427	0.29640993475914	-0.15379333	No	
row_22	ARID1A	AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]	5495	0.28938621282577515	-0.15347014	No	
row_23	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	5504	0.2886485755443573	-0.14968069	No	
row_24	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	5738	0.26212185621261597	-0.15954308	No	
row_25	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	5749	0.2608822286128998	-0.15628138	No	
row_26	IHO1	interactor of HORMAD1 1 [Source:HGNC Symbol;Acc:HGNC:27945]	6023	0.2329684942960739	-0.1689315	No	
row_27	HORMAD1	HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]	6239	0.2114393264055252	-0.17848122	No	
