NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	Details ...	36	0.67327267	2.1562767	0.0	0.006379996	0.009	1265	tags=33%, list=7%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	Details ...	48	0.58331674	1.9901534	0.0	0.077159636	0.197	1265	tags=27%, list=7%, signal=29%	
GOBP_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS	Details ...	24	0.6503448	1.8999429	0.0	0.21416917	0.619	1114	tags=33%, list=7%, signal=36%	
GOBP_EMBRYONIC_DIGESTIVE_TRACT_MORPHOGENESIS	GOBP_EMBRYONIC_DIGESTIVE_TRACT_MORPHOGENESIS	Details ...	15	0.69720596	1.855441	0.001814882	0.28102478	0.789	677	tags=33%, list=4%, signal=35%	
GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE	GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE	Details ...	35	0.5801766	1.8336967	0.0	0.30225816	0.875	2414	tags=43%, list=14%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	Details ...	68	0.5000142	1.8246711	0.0	0.28117692	0.896	1265	tags=22%, list=7%, signal=24%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT	Details ...	148	0.44163173	1.8102198	0.0	0.28714985	0.941	2398	tags=27%, list=14%, signal=31%	
GOBP_RESPONSE_TO_ACIDIC_PH	GOBP_RESPONSE_TO_ACIDIC_PH	Details ...	24	0.61893195	1.8065404	0.0	0.26229757	0.949	2836	tags=42%, list=17%, signal=50%	
GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS	GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS	Details ...	15	0.69323343	1.7929065	0.005586592	0.27254558	0.969	1090	tags=33%, list=6%, signal=36%	
GOBP_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	GOBP_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	Details ...	29	0.5967958	1.7867262	0.0018248175	0.26485363	0.976	1114	tags=31%, list=7%, signal=33%	
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	Details ...	94	0.4624858	1.7810849	0.0	0.25623524	0.983	1596	tags=20%, list=9%, signal=22%	
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	Details ...	22	0.6215703	1.7736734	0.009009009	0.2558815	0.985	2794	tags=41%, list=16%, signal=49%	
GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	Details ...	89	0.46693957	1.7672408	0.0	0.25513822	0.99	1140	tags=19%, list=7%, signal=20%	
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	Details ...	121	0.44193357	1.7660356	0.0	0.24042113	0.991	3273	tags=36%, list=19%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	GOBP_POSITIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	Details ...	18	0.6450421	1.7655032	0.0	0.22567351	0.991	810	tags=28%, list=5%, signal=29%	
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	Details ...	275	0.39289197	1.756183	0.0	0.23540281	0.995	3018	tags=31%, list=18%, signal=36%	
GOBP_MYOBLAST_PROLIFERATION	GOBP_MYOBLAST_PROLIFERATION	Details ...	22	0.6039809	1.7408357	0.009746589	0.26384437	1.0	3615	tags=50%, list=21%, signal=63%	
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	18	0.64241433	1.7402409	0.00729927	0.25116774	1.0	2113	tags=44%, list=12%, signal=51%	
GOBP_EMBRYONIC_PATTERN_SPECIFICATION	GOBP_EMBRYONIC_PATTERN_SPECIFICATION	Details ...	56	0.5035172	1.7399582	0.0016722408	0.2387358	1.0	3726	tags=39%, list=22%, signal=50%	
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	Details ...	30	0.564349	1.7348274	0.00729927	0.23974763	1.0	2413	tags=40%, list=14%, signal=46%	
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY		229	0.39653584	1.7260231	0.0	0.25166443	1.0	2783	tags=28%, list=16%, signal=33%	
GOBP_NEGATIVE_CHEMOTAXIS	GOBP_NEGATIVE_CHEMOTAXIS		42	0.5191396	1.7223753	0.0069204154	0.25009012	1.0	2236	tags=36%, list=13%, signal=41%	
GOBP_MIDDLE_EAR_MORPHOGENESIS	GOBP_MIDDLE_EAR_MORPHOGENESIS		20	0.60144895	1.7184277	0.010928961	0.2489796	1.0	1492	tags=35%, list=9%, signal=38%	
GOBP_CELL_FATE_SPECIFICATION	GOBP_CELL_FATE_SPECIFICATION		81	0.45289853	1.7014263	0.0	0.28422058	1.0	3615	tags=44%, list=21%, signal=56%	
GOBP_DOPAMINE_SECRETION	GOBP_DOPAMINE_SECRETION		27	0.57123923	1.700828	0.009124087	0.27472806	1.0	2893	tags=41%, list=17%, signal=49%	
GOBP_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	GOBP_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT		38	0.51354825	1.7005249	0.0036231885	0.2650639	1.0	2134	tags=32%, list=12%, signal=36%	
GOBP_BLASTODERM_SEGMENTATION	GOBP_BLASTODERM_SEGMENTATION		17	0.64487517	1.6986438	0.003690037	0.25998124	1.0	474	tags=24%, list=3%, signal=24%	
GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT	GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT		122	0.42736632	1.6949744	0.0	0.26073262	1.0	2674	tags=33%, list=16%, signal=39%	
GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING	GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING		22	0.5802664	1.6909399	0.007352941	0.2611051	1.0	3789	tags=59%, list=22%, signal=76%	
GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS		18	0.61086935	1.6808727	0.0036563072	0.2791769	1.0	3395	tags=44%, list=20%, signal=55%	
GOBP_AMINE_TRANSPORT	GOBP_AMINE_TRANSPORT		76	0.45072797	1.6806988	0.0016977929	0.27079123	1.0	3264	tags=37%, list=19%, signal=45%	
GOBP_EMBRYONIC_DIGIT_MORPHOGENESIS	GOBP_EMBRYONIC_DIGIT_MORPHOGENESIS		54	0.4871872	1.6783751	0.0050675673	0.268756	1.0	3039	tags=35%, list=18%, signal=43%	
GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS		133	0.4157399	1.6757355	0.0	0.26721096	1.0	2653	tags=24%, list=16%, signal=28%	
GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS		125	0.41637585	1.6756172	0.0	0.2597669	1.0	2765	tags=29%, list=16%, signal=34%	
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION		35	0.5192237	1.6748304	0.006849315	0.25437868	1.0	2444	tags=37%, list=14%, signal=43%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY		120	0.4197505	1.6725351	0.0	0.25345764	1.0	2398	tags=25%, list=14%, signal=29%	
GOBP_EXPORT_ACROSS_PLASMA_MEMBRANE	GOBP_EXPORT_ACROSS_PLASMA_MEMBRANE		53	0.47250286	1.6680417	0.005328597	0.25835863	1.0	1102	tags=25%, list=6%, signal=26%	
GOBP_COMPLEMENT_ACTIVATION	GOBP_COMPLEMENT_ACTIVATION		41	0.5064215	1.658593	0.012237762	0.27594462	1.0	1573	tags=32%, list=9%, signal=35%	
GOBP_EPITHELIAL_CELL_MATURATION	GOBP_EPITHELIAL_CELL_MATURATION		21	0.5871972	1.6581883	0.0056603774	0.269795	1.0	953	tags=33%, list=6%, signal=35%	
