NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	657	0.9912785291671753	-0.029674932	No	
row_1	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	909	0.8838067650794983	-0.03628026	No	
row_2	MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	1169	0.8123980760574341	-0.04402894	No	
row_3	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]	1214	0.7958109378814697	-0.0391832	No	
row_4	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	1359	0.7555543184280396	-0.04064472	No	
row_5	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	1474	0.7284309267997742	-0.040581282	No	
row_6	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	1701	0.6764307618141174	-0.04764673	No	
row_7	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	1718	0.6733910441398621	-0.042287357	No	
row_8	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	2037	0.6131995320320129	-0.055400874	No	
row_9	TAFAZZIN	tafazzin, phospholipid-lysophospholipid transacylase [Source:HGNC Symbol;Acc:HGNC:11577]	2079	0.6073729395866394	-0.05214248	No	
row_10	ME3	malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]	2437	0.5479757189750671	-0.06817976	No	
row_11	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	2529	0.5345931649208069	-0.06856822	No	
row_12	TRPV4	transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083]	3044	0.4700773060321808	-0.09464557	No	
row_13	SIRT3	sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931]	3230	0.44531524181365967	-0.1014447	No	
row_14	COQ10A	coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515]	3732	0.4017496109008789	-0.1273912	No	
row_15	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	3816	0.391301691532135	-0.12864758	No	
row_16	SLC25A23	solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]	3867	0.3856184184551239	-0.12800026	No	
row_17	COX15	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]	4442	0.32740533351898193	-0.1589722	No	
row_18	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	4453	0.32612770795822144	-0.15651011	No	
row_19	MDH1B	malate dehydrogenase 1B [Source:HGNC Symbol;Acc:HGNC:17836]	4537	0.3176576495170593	-0.15845639	No	
row_20	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	4661	0.30741357803344727	-0.16287066	No	
row_21	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	4696	0.30539044737815857	-0.16202608	No	
row_22	NOA1	nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]	4827	0.2964222729206085	-0.16695844	No	
row_23	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	4909	0.2904064357280731	-0.16904138	No	
row_24	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	5360	0.24566888809204102	-0.19342564	No	
row_25	PANK2	pantothenate kinase 2 [Source:HGNC Symbol;Acc:HGNC:15894]	5539	0.2298988550901413	-0.20182765	No	
row_26	MTCO2P12	MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]	5737	0.21694181859493256	-0.21147776	No	
row_27	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	5788	0.21143077313899994	-0.21246219	No	
row_28	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	6116	0.18477334082126617	-0.23012283	No	
row_29	SLC25A51	solute carrier family 25 member 51 [Source:HGNC Symbol;Acc:HGNC:23323]	6613	0.1438053846359253	-0.2581892	No	
row_30	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	6616	0.1436261683702469	-0.25696236	No	
row_31	PUM2	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]	6648	0.13980790972709656	-0.257491	No	
row_32	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	6678	0.13702493906021118	-0.25792712	No	
row_33	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	6835	0.12485115975141525	-0.26600856	No	
row_34	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	6942	0.11721190810203552	-0.27119648	No	
row_35	NIPSNAP2	nipsnap homolog 2 [Source:HGNC Symbol;Acc:HGNC:4179]	6949	0.11669345200061798	-0.27045915	No	
row_36	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	6967	0.11485592275857925	-0.27039132	No	
row_37	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	7395	0.07851000130176544	-0.29497755	No	
row_38	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	7424	0.07551335543394089	-0.2959306	No	
row_39	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	7820	0.0457804836332798	-0.3189258	No	
row_40	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	8279	0.014253342524170876	-0.34595233	No	
row_41	IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	8374	0.007483977824449539	-0.35145655	No	
row_42	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	8420	0.00436894316226244	-0.3540842	No	
row_43	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	8468	0.00142197054810822	-0.35685804	No	
row_44	SUCLG2	succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450]	8662	-0.0011036411160603166	-0.3682929	No	
row_45	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	8688	-0.00286516803316772	-0.3697486	No	
row_46	SLC25A25	solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]	8735	-0.006061500404030085	-0.37241966	No	
row_47	GBA	glucosylceramidase beta [Source:HGNC Symbol;Acc:HGNC:4177]	8799	-0.010031408630311489	-0.37606168	No	
row_48	FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	8951	-0.020815065130591393	-0.3848212	No	
row_49	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	9055	-0.02786136232316494	-0.39066824	No	
row_50	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	9075	-0.02956271730363369	-0.39151803	No	
row_51	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	9241	-0.04346073791384697	-0.40089566	No	
row_52	LYRM7	LYR motif containing 7 [Source:HGNC Symbol;Acc:HGNC:28072]	9246	-0.043885886669158936	-0.40072173	No	
row_53	ATP7A	ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]	9293	-0.04775523766875267	-0.40300223	No	
row_54	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	9365	-0.05354946851730347	-0.406711	No	
row_55	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	9429	-0.056926093995571136	-0.40991372	No	
row_56	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	9575	-0.06771472841501236	-0.4178781	No	
row_57	SUCLA2	succinate-CoA ligase ADP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11448]	9813	-0.08723718672990799	-0.4311153	No	
row_58	TREX1	three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269]	9836	-0.08928202092647552	-0.43158355	No	
row_59	AIFM2	apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]	9847	-0.08969929814338684	-0.43133628	No	
row_60	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684]	9986	-0.10022895783185959	-0.43858096	No	
row_61	NOP53	NOP53 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:4333]	10030	-0.10361278057098389	-0.4401603	No	
row_62	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	10237	-0.11999674141407013	-0.45125228	No	
row_63	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	10243	-0.12032023072242737	-0.45042166	No	
row_64	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	10269	-0.12218639999628067	-0.45075956	No	
row_65	SDHAF4	succinate dehydrogenase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:20957]	10294	-0.12402699887752533	-0.45102096	No	
row_66	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]	10367	-0.13087527453899384	-0.45406464	No	
row_67	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	10376	-0.13146540522575378	-0.4533075	No	
row_68	SLC25A14	solute carrier family 25 member 14 [Source:HGNC Symbol;Acc:HGNC:10984]	10643	-0.151717871427536	-0.46766043	No	
row_69	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	10648	-0.1521933227777481	-0.4664719	No	
row_70	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	10715	-0.15735608339309692	-0.4689117	No	
row_71	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	10906	-0.17024323344230652	-0.47858417	No	
row_72	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	11057	-0.18236681818962097	-0.48577103	No	
row_73	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	11061	-0.18256860971450806	-0.48423865	No	
row_74	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	11198	-0.1931200474500656	-0.49049455	No	
row_75	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	11213	-0.19461342692375183	-0.48950166	No	
row_76	IREB2	iron responsive element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6115]	11430	-0.21219034492969513	-0.500323	No	
row_77	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	11463	-0.21440841257572174	-0.50021213	No	
row_78	UQCRC2	ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]	11488	-0.21703015267848969	-0.49960226	No	
row_79	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	11565	-0.2239641696214676	-0.5020111	No	
row_80	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	11585	-0.22570036351680756	-0.50102353	No	
row_81	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	11586	-0.22575168311595917	-0.49890873	No	
row_82	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	11690	-0.23443768918514252	-0.5028206	No	
row_83	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	11713	-0.23638193309307098	-0.50191087	No	
row_84	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	11822	-0.24587580561637878	-0.5060121	No	
row_85	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	11900	-0.25235310196876526	-0.5082143	No	
row_86	IMMP2L	inner mitochondrial membrane peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:14598]	12009	-0.2619965374469757	-0.51216453	No	
row_87	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	12115	-0.2701900899410248	-0.5158601	No	
row_88	SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	12120	-0.27081161737442017	-0.51356035	No	
row_89	OGDHL	oxoglutarate dehydrogenase L [Source:HGNC Symbol;Acc:HGNC:25590]	12173	-0.2758066654205322	-0.5140604	No	
row_90	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	12180	-0.276630699634552	-0.5118247	No	
row_91	MRPS36	mitochondrial ribosomal protein S36 [Source:HGNC Symbol;Acc:HGNC:16631]	12196	-0.2773609757423401	-0.510116	No	
row_92	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	12202	-0.27810245752334595	-0.5078073	No	
row_93	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	12292	-0.2857385277748108	-0.5104084	No	
row_94	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	12359	-0.2906859815120697	-0.5115992	No	
row_95	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]	12511	-0.3023870587348938	-0.517721	Yes	
row_96	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	12527	-0.30377325415611267	-0.51576483	Yes	
row_97	AFG1L	AFG1 like ATPase [Source:HGNC Symbol;Acc:HGNC:16411]	12580	-0.3076639771461487	-0.51596636	Yes	
row_98	MTFR1	mitochondrial fission regulator 1 [Source:HGNC Symbol;Acc:HGNC:29510]	12592	-0.30917826294898987	-0.51372236	Yes	
