NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	62	2.1722939014434814	0.02638686	Yes	
row_1	ID4	inhibitor of DNA binding 4, HLH protein [Source:HGNC Symbol;Acc:HGNC:5363]	67	2.145118474960327	0.05581869	Yes	
row_2	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	81	2.0126307010650635	0.08288736	Yes	
row_3	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	103	1.8506345748901367	0.10724372	Yes	
row_4	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	119	1.7961848974227905	0.1312009	Yes	
row_5	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	125	1.7692606449127197	0.15537551	Yes	
row_6	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	145	1.6768325567245483	0.17744608	Yes	
row_7	GDF7	growth differentiation factor 7 [Source:HGNC Symbol;Acc:HGNC:4222]	177	1.6133719682693481	0.19793123	Yes	
row_8	TOX	thymocyte selection associated high mobility group box [Source:HGNC Symbol;Acc:HGNC:18988]	232	1.495557188987732	0.21543041	Yes	
row_9	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	282	1.3834142684936523	0.23167352	Yes	
row_10	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	308	1.3393306732177734	0.24872245	Yes	
row_11	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	378	1.2280138731002808	0.26163673	Yes	
row_12	DCLK2	doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]	505	1.108229637145996	0.2695325	Yes	
row_13	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	512	1.1012578010559082	0.2844094	Yes	
row_14	PLXNA4	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]	513	1.1004925966262817	0.2996296	Yes	
row_15	ADARB1	adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	602	1.0140589475631714	0.3084642	Yes	
row_16	HOXD10	homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133]	663	0.9893243908882141	0.31860813	Yes	
row_17	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	710	0.9679214954376221	0.32928175	Yes	
