NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RBM24	RNA binding motif protein 24 [Source:HGNC Symbol;Acc:HGNC:21539]	1348	0.7571001648902893	-0.067143895	No	
row_1	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	1869	0.6405099630355835	-0.087310754	No	
row_2	AARS1	alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]	2553	0.5300465822219849	-0.11892107	No	
row_3	DPH6	diphthamine biosynthesis 6 [Source:HGNC Symbol;Acc:HGNC:30543]	3231	0.44517451524734497	-0.15157376	No	
row_4	DPH5	diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]	3643	0.41028276085853577	-0.16909263	No	
row_5	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	3739	0.4001482427120209	-0.16811757	No	
row_6	UNK	unk zinc finger [Source:HGNC Symbol;Acc:HGNC:29369]	3742	0.3998575806617737	-0.1616554	No	
row_7	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]	4337	0.33791765570640564	-0.1911718	No	
row_8	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	4680	0.3062148690223694	-0.2063286	No	
row_9	EIF3L	eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138]	5019	0.2802889943122864	-0.22167586	No	
row_10	EIF2S3B	eukaryotic translation initiation factor 2 subunit gamma B [Source:HGNC Symbol;Acc:HGNC:43863]	5165	0.26710036396980286	-0.22584295	No	
row_11	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	5384	0.2433871626853943	-0.23471114	No	
row_12	FMR1	FMRP translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:3775]	5541	0.22978967428207397	-0.24014184	No	
row_13	CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	5575	0.22763603925704956	-0.23834446	No	
row_14	MIF4GD	MIF4G domain containing [Source:HGNC Symbol;Acc:HGNC:24030]	5984	0.1954174041748047	-0.25922212	No	
row_15	DPH7	diphthamide biosynthesis 7 [Source:HGNC Symbol;Acc:HGNC:25199]	6319	0.16862478852272034	-0.27617076	No	
row_16	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	6504	0.15455254912376404	-0.28449306	No	
row_17	SH3BGRL	SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]	7568	0.064815454185009	-0.34619954	No	
row_18	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	7599	0.062391120940446854	-0.3469444	No	
row_19	CPEB4	cytoplasmic polyadenylation element binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21747]	7719	0.05326811224222183	-0.35309505	No	
row_20	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	7769	0.049567658454179764	-0.35517293	No	
row_21	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]	7775	0.04903535917401314	-0.35466126	No	
row_22	DHX36	DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]	7998	0.033471714705228806	-0.36722013	No	
row_23	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	8335	0.010038248263299465	-0.38689667	No	
row_24	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	8406	0.005363570526242256	-0.3909421	No	
row_25	YTHDF2	YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675]	8705	-0.004274686332792044	-0.4084695	No	
row_26	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	8988	-0.023638717830181122	-0.42473337	No	
row_27	DNAJC24	DnaJ heat shock protein family (Hsp40) member C24 [Source:HGNC Symbol;Acc:HGNC:26979]	9024	-0.026083607226610184	-0.42637098	No	
row_28	YBX3	Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]	9254	-0.044611141085624695	-0.4391599	No	
row_29	EIF3CL	eukaryotic translation initiation factor 3 subunit C like [Source:HGNC Symbol;Acc:HGNC:26347]	9686	-0.07669107615947723	-0.46334958	No	
row_30	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	9706	-0.07797491550445557	-0.4631884	No	
row_31	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	9933	-0.09616391360759735	-0.4749518	No	
row_32	DRG2	developmentally regulated GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3030]	9959	-0.09847874194383621	-0.4748075	No	
row_33	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	10013	-0.10223076492547989	-0.47625494	No	
row_34	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	10174	-0.11525867134332657	-0.4838066	No	
