NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRMT61B	tRNA methyltransferase 61B [Source:HGNC Symbol;Acc:HGNC:26070]	2580	0.5261691808700562	-0.14480054	No	
row_1	SARS2	seryl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17697]	3570	0.41804543137550354	-0.19718221	No	
row_2	NSUN3	NOP2/Sun RNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:26208]	3610	0.41297319531440735	-0.19352044	No	
row_3	THAP11	THAP domain containing 11 [Source:HGNC Symbol;Acc:HGNC:23194]	3639	0.41073137521743774	-0.18924128	No	
row_4	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	3711	0.4040748178958893	-0.18759829	No	
row_5	FASTKD3	FAST kinase domains 3 [Source:HGNC Symbol;Acc:HGNC:28758]	4058	0.3645072877407074	-0.20277117	No	
row_6	METTL4	methyltransferase 4, N6-adenosine [Source:HGNC Symbol;Acc:HGNC:24726]	4566	0.3155827522277832	-0.2281611	No	
row_7	RMND1	required for meiotic nuclear division 1 homolog [Source:HGNC Symbol;Acc:HGNC:21176]	4679	0.30645543336868286	-0.23035012	No	
row_8	MTIF2	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]	4774	0.30079081654548645	-0.23155773	No	
row_9	NOA1	nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]	4827	0.2964222729206085	-0.23034747	No	
row_10	PTCD3	pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]	5318	0.24990645051002502	-0.2556819	No	
row_11	MRPS27	mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]	5362	0.24564678966999054	-0.2546735	No	
row_12	GFM1	G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]	5783	0.2121865600347519	-0.2764179	No	
row_13	TRNT1	tRNA nucleotidyl transferase 1 [Source:HGNC Symbol;Acc:HGNC:17341]	6011	0.1934143304824829	-0.28703293	No	
row_14	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	6017	0.19289632141590118	-0.28454182	No	
row_15	QRSL1	glutaminyl-tRNA amidotransferase subunit QRSL1 [Source:HGNC Symbol;Acc:HGNC:21020]	6119	0.18443992733955383	-0.28784364	No	
row_16	MTERF2	mitochondrial transcription termination factor 2 [Source:HGNC Symbol;Acc:HGNC:30779]	7008	0.11138306558132172	-0.33868903	No	
row_17	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	7085	0.10579811036586761	-0.3416501	No	
row_18	MTERF4	mitochondrial transcription termination factor 4 [Source:HGNC Symbol;Acc:HGNC:28785]	7334	0.0843745693564415	-0.3550807	No	
row_19	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]	7380	0.07995971292257309	-0.3565838	No	
row_20	MRPL49	mitochondrial ribosomal protein L49 [Source:HGNC Symbol;Acc:HGNC:1176]	7414	0.07641386985778809	-0.35742933	No	
row_21	METTL8	methyltransferase 8, methylcytidine [Source:HGNC Symbol;Acc:HGNC:25856]	7478	0.0716484785079956	-0.36011577	No	
row_22	AARS2	alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]	7633	0.059839632362127304	-0.36834818	No	
row_23	MRPL45	mitochondrial ribosomal protein L45 [Source:HGNC Symbol;Acc:HGNC:16651]	7730	0.052468325942754745	-0.373261	No	
row_24	GARS1	glycyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4162]	7805	0.046838246285915375	-0.3769556	No	
row_25	PPARGC1B	PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022]	7811	0.046560753136873245	-0.37657836	No	
row_26	MTERF1	mitochondrial transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:21463]	7923	0.03731798380613327	-0.3825961	No	
row_27	MRPL44	mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]	8394	0.005855878349393606	-0.4102745	No	
row_28	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]	8396	0.005781059619039297	-0.41025007	No	
row_29	MRPS31	mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632]	8680	-0.002147020073607564	-0.42693594	No	
row_30	FASTKD2	FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]	9053	-0.027796173468232155	-0.44850853	No	
row_31	MRPL48	mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]	9168	-0.03765042498707771	-0.45469868	No	
row_32	MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]	9302	-0.04871173948049545	-0.46185136	No	
row_33	MALSU1	mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]	9363	-0.05349127575755119	-0.46462288	No	
row_34	RARS2	arginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21406]	9380	-0.05427117645740509	-0.46478403	No	
row_35	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	9538	-0.06537414342164993	-0.47311372	No	
row_36	DARS2	aspartyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25538]	9835	-0.08920306712388992	-0.48930994	No	
