NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SARS2	seryl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17697]	3570	0.41804543137550354	-0.2034444	No	
row_1	NSUN3	NOP2/Sun RNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:26208]	3610	0.41297319531440735	-0.1987786	No	
row_2	FASTKD3	FAST kinase domains 3 [Source:HGNC Symbol;Acc:HGNC:28758]	4058	0.3645072877407074	-0.21898682	No	
row_3	RMND1	required for meiotic nuclear division 1 homolog [Source:HGNC Symbol;Acc:HGNC:21176]	4679	0.30645543336868286	-0.25037467	No	
row_4	MTIF2	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]	4774	0.30079081654548645	-0.25084388	No	
row_5	NOA1	nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]	4827	0.2964222729206085	-0.24891037	No	
row_6	PTCD3	pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]	5318	0.24990645051002502	-0.27358687	No	
row_7	MRPS27	mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]	5362	0.24564678966999054	-0.2719791	No	
row_8	GFM1	G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]	5783	0.2121865600347519	-0.29316443	No	
row_9	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	6017	0.19289632141590118	-0.30364922	No	
row_10	QRSL1	glutaminyl-tRNA amidotransferase subunit QRSL1 [Source:HGNC Symbol;Acc:HGNC:21020]	6119	0.18443992733955383	-0.30649358	No	
row_11	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]	7380	0.07995971292257309	-0.3794374	No	
row_12	MRPL49	mitochondrial ribosomal protein L49 [Source:HGNC Symbol;Acc:HGNC:1176]	7414	0.07641386985778809	-0.38009432	No	
row_13	METTL8	methyltransferase 8, methylcytidine [Source:HGNC Symbol;Acc:HGNC:25856]	7478	0.0716484785079956	-0.38260052	No	
row_14	AARS2	alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]	7633	0.059839632362127304	-0.39067143	No	
row_15	MRPL45	mitochondrial ribosomal protein L45 [Source:HGNC Symbol;Acc:HGNC:16651]	7730	0.052468325942754745	-0.39544687	No	
row_16	GARS1	glycyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4162]	7805	0.046838246285915375	-0.39902008	No	
row_17	MRPL44	mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]	8394	0.005855878349393606	-0.43359113	No	
row_18	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]	8396	0.005781059619039297	-0.43355256	No	
row_19	MRPS31	mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632]	8680	-0.002147020073607564	-0.45020267	No	
row_20	FASTKD2	FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]	9053	-0.027796173468232155	-0.47166783	No	
row_21	MRPL48	mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]	9168	-0.03765042498707771	-0.4777545	No	
row_22	MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]	9302	-0.04871173948049545	-0.4847749	No	
row_23	MALSU1	mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]	9363	-0.05349127575755119	-0.48741043	No	
row_24	RARS2	arginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21406]	9380	-0.05427117645740509	-0.48743847	No	
row_25	DARS2	aspartyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25538]	9835	-0.08920306712388992	-0.5127028	No	
row_26	MRPS5	mitochondrial ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:14498]	9896	-0.09360737353563309	-0.5146617	No	
row_27	TARS2	threonyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30740]	10043	-0.10456690937280655	-0.52150655	No	
row_28	YARS2	tyrosyl-tRNA synthetase 2 [Source:HGNC Symbol;Acc:HGNC:24249]	10144	-0.11299964040517807	-0.5254969	No	
row_29	RCC1L	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	10223	-0.11916183680295944	-0.5280861	No	
row_30	GFM2	GTP dependent ribosome recycling factor mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:29682]	10691	-0.15587066113948822	-0.5529926	No	
row_31	MRPS10	mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:14502]	11147	-0.1883593499660492	-0.57664347	No	
row_32	MRPS9	mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]	11190	-0.19250613451004028	-0.575873	No	
row_33	MRPL38	mitochondrial ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:14033]	11304	-0.20151104032993317	-0.57913697	No	
row_34	NGRN	neugrin, neurite outgrowth associated [Source:HGNC Symbol;Acc:HGNC:18077]	11403	-0.2088625282049179	-0.5813925	No	
row_35	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	11463	-0.21440841257572174	-0.5812551	No	
row_36	LARS2	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]	11485	-0.2165134698152542	-0.57884145	No	
row_37	MRPS2	mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495]	11498	-0.21806423366069794	-0.5758711	No	
row_38	GATC	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	11622	-0.2284471094608307	-0.57927036	No	
row_39	MTIF3	mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788]	11709	-0.23580044507980347	-0.58036405	No	
row_40	MRPS26	mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045]	11789	-0.24241793155670166	-0.5809334	No	
row_41	MRPL39	mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:14027]	12156	-0.2735864818096161	-0.59789914	No	
row_42	CDK5RAP1	CDK5 regulatory subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15880]	12181	-0.2767215371131897	-0.594647	No	
row_43	TRMT10C	tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:HGNC Symbol;Acc:HGNC:26022]	12368	-0.29137805104255676	-0.6006995	No	
row_44	RPUSD3	RNA pseudouridine synthase D3 [Source:HGNC Symbol;Acc:HGNC:28437]	12464	-0.2993413805961609	-0.60125214	Yes	
row_45	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]	12498	-0.30164089798927307	-0.5981103	Yes	
row_46	GATB	glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849]	12596	-0.3094068169593811	-0.5986111	Yes	
row_47	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	12610	-0.31105268001556396	-0.5941313	Yes	
row_48	ALKBH1	alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]	12638	-0.3134712278842926	-0.59043616	Yes	
row_49	MTG1	mitochondrial ribosome associated GTPase 1 [Source:HGNC Symbol;Acc:HGNC:32159]	12679	-0.31764137744903564	-0.5874372	Yes	
row_50	MRPS18B	mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]	12756	-0.32564911246299744	-0.58642584	Yes	
row_51	TSFM	Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]	12838	-0.3322131931781769	-0.5855986	Yes	
row_52	MRPL3	mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]	12985	-0.3454139530658722	-0.58838123	Yes	
row_53	MRPL42	mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493]	13173	-0.36542078852653503	-0.59324384	Yes	
row_54	MRPL51	mitochondrial ribosomal protein L51 [Source:HGNC Symbol;Acc:HGNC:14044]	13206	-0.36846470832824707	-0.588916	Yes	
row_55	MRPL2	mitochondrial ribosomal protein L2 [Source:HGNC Symbol;Acc:HGNC:14056]	13249	-0.3727060854434967	-0.58510625	Yes	
row_56	MPV17L2	MPV17 mitochondrial inner membrane protein like 2 [Source:HGNC Symbol;Acc:HGNC:28177]	13251	-0.3729783892631531	-0.5788744	Yes	
row_57	EARS2	glutamyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29419]	13276	-0.3762325346469879	-0.57394385	Yes	
row_58	MTRF1	mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]	13391	-0.3886861503124237	-0.57410985	Yes	
row_59	MRPL43	mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]	13443	-0.39378634095191956	-0.5704752	Yes	
row_60	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]	13577	-0.40892794728279114	-0.5714201	Yes	
row_61	MTG2	mitochondrial ribosome associated GTPase 2 [Source:HGNC Symbol;Acc:HGNC:16239]	13586	-0.41035741567611694	-0.56497055	Yes	
row_62	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	13657	-0.41868019104003906	-0.56203634	Yes	
row_63	MRPL11	mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:14042]	13837	-0.43463191390037537	-0.56525993	Yes	
row_64	PTCD1	pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:22198]	13855	-0.435956209897995	-0.55890936	Yes	
row_65	MRPL55	mitochondrial ribosomal protein L55 [Source:HGNC Symbol;Acc:HGNC:16686]	13881	-0.4388798177242279	-0.5529811	Yes	
row_66	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]	13894	-0.4402165114879608	-0.5462638	Yes	
row_67	RPUSD4	RNA pseudouridine synthase D4 [Source:HGNC Symbol;Acc:HGNC:25898]	14067	-0.45597973465919495	-0.54871464	Yes	
row_68	MRPL16	mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]	14088	-0.45774468779563904	-0.5421734	Yes	
row_69	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]	14142	-0.46339505910873413	-0.5374826	Yes	
row_70	MRPL37	mitochondrial ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:14034]	14154	-0.4648318588733673	-0.53029126	Yes	
row_71	MRPS11	mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050]	14158	-0.46516335010528564	-0.5226225	Yes	
row_72	MRPL46	mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]	14199	-0.46948760747909546	-0.5170625	Yes	
row_73	MRPS17	mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:14047]	14253	-0.47593826055526733	-0.5121602	Yes	
