NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	87	1.967897891998291	0.09890601	Yes	
row_1	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	167	1.6393743753433228	0.18091778	Yes	
row_2	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	246	1.4631192684173584	0.25367254	Yes	
row_3	LGR4	leucine rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299]	586	1.02688729763031	0.28805852	Yes	
row_4	ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	635	1.00072181224823	0.33813402	Yes	
row_5	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	1097	0.8305416703224182	0.35498494	Yes	
row_6	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1386	0.749022364616394	0.37767687	Yes	
row_7	PLCL1	phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]	1414	0.7422056198120117	0.41532096	Yes	
row_8	ACVR2B	activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]	1605	0.7004523873329163	0.4411953	Yes	
row_9	ACOT11	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]	2142	0.5962120294570923	0.441261	Yes	
row_10	PLCL2	phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]	2188	0.5883935689926147	0.46971953	Yes	
row_11	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	2386	0.5568596720695496	0.48759383	Yes	
row_12	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	2391	0.5565111041069031	0.5167727	Yes	
row_13	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	2964	0.4804757237434387	0.50860924	Yes	
row_14	NOVA2	NOVA alternative splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:7887]	3175	0.4524214565753937	0.5202009	Yes	
row_15	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3434	0.43030664324760437	0.5278077	Yes	
row_16	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	3816	0.391301691532135	0.52613676	Yes	
row_17	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	4011	0.3689621388912201	0.53425604	Yes	
