NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	3381	0.43493029475212097	-0.18147235	No	
row_1	NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	4128	0.35682499408721924	-0.21137215	No	
row_2	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	4283	0.3426044285297394	-0.20708913	No	
row_3	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	5282	0.2535816431045532	-0.2557887	No	
row_4	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	5641	0.22367256879806519	-0.26809898	No	
row_5	GEN1	GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881]	5675	0.22167626023292542	-0.26141745	No	
row_6	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	5685	0.22112320363521576	-0.25334918	No	
row_7	PCID2	PCI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25653]	5693	0.2205897569656372	-0.24518433	No	
row_8	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	6453	0.158316969871521	-0.28356406	No	
row_9	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	6485	0.15596409142017365	-0.27931976	No	
row_10	CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	7578	0.06406183540821075	-0.34090254	No	
row_11	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	8095	0.02705741859972477	-0.37012702	No	
row_12	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	8159	0.02323838882148266	-0.37292016	No	
row_13	INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	9083	-0.02993520349264145	-0.42591354	No	
row_14	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	9212	-0.04082876071333885	-0.4318367	No	
row_15	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	10323	-0.12701761722564697	-0.49202818	No	
row_16	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	10353	-0.12986108660697937	-0.48868132	No	
row_17	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	10567	-0.1455005407333374	-0.49552268	No	
row_18	ZW10	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]	10590	-0.1472412645816803	-0.4910894	No	
row_19	MAD2L1BP	MAD2L1 binding protein [Source:HGNC Symbol;Acc:HGNC:21059]	11409	-0.20919835567474365	-0.53095293	No	
row_20	ZNF207	zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]	11526	-0.2209271937608719	-0.5291705	No	
row_21	IK	IK cytokine [Source:HGNC Symbol;Acc:HGNC:5958]	11658	-0.2320975363254547	-0.527834	No	
row_22	HASPIN	histone H3 associated protein kinase [Source:HGNC Symbol;Acc:HGNC:19682]	11749	-0.2398262768983841	-0.5237914	No	
row_23	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	11836	-0.24709796905517578	-0.5192313	No	
row_24	LCMT1	leucine carboxyl methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17557]	12373	-0.2916266620159149	-0.53934395	No	
row_25	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	12777	-0.3273179829120636	-0.5502653	No	
row_26	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	13616	-0.4143577218055725	-0.58332664	No	
