NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	638	0.999217689037323	-0.02288324	No	
row_1	ATP5MGL	ATP synthase membrane subunit g like [Source:HGNC Symbol;Acc:HGNC:13213]	1283	0.7796921730041504	-0.04935692	No	
row_2	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	1359	0.7555543184280396	-0.04263893	No	
row_3	AK9	adenylate kinase 9 [Source:HGNC Symbol;Acc:HGNC:33814]	1497	0.7244133353233337	-0.040035535	No	
row_4	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	1701	0.6764307618141174	-0.042030875	No	
row_5	TAFAZZIN	tafazzin, phospholipid-lysophospholipid transacylase [Source:HGNC Symbol;Acc:HGNC:11577]	2079	0.6073729395866394	-0.055303227	No	
row_6	CTPS2	CTP synthase 2 [Source:HGNC Symbol;Acc:HGNC:2520]	2342	0.5653687715530396	-0.06241463	No	
row_7	PID1	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]	3118	0.46005144715309143	-0.10132469	No	
row_8	NME9	NME/NM23 family member 9 [Source:HGNC Symbol;Acc:HGNC:21343]	3439	0.4296638071537018	-0.11385654	No	
row_9	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]	3566	0.4186346232891083	-0.115113	No	
row_10	AK8	adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]	3773	0.3963031470775604	-0.121415414	No	
row_11	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]	4353	0.33606967329978943	-0.15059754	No	
row_12	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	4729	0.3032594621181488	-0.16823582	No	
row_13	NME2P1	NME2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31358]	5120	0.2715887725353241	-0.18722545	No	
row_14	MTCO2P12	MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]	5737	0.21694181859493256	-0.22034547	No	
row_15	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	6010	0.19351162016391754	-0.23352914	No	
row_16	NME6	NME/NM23 nucleoside diphosphate kinase 6 [Source:HGNC Symbol;Acc:HGNC:20567]	6418	0.161744624376297	-0.2551406	No	
row_17	UCKL1	uridine-cytidine kinase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:15938]	6510	0.15389378368854523	-0.25823683	No	
row_18	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	6678	0.13702493906021118	-0.26606265	No	
row_19	NME7	NME/NM23 family member 7 [Source:HGNC Symbol;Acc:HGNC:20461]	6853	0.12376050651073456	-0.27449676	No	
row_20	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	6924	0.11890615522861481	-0.27687073	No	
row_21	PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]	7199	0.09656631946563721	-0.29160166	No	
row_22	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	7395	0.07851000130176544	-0.30194107	No	
row_23	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	7424	0.07551335543394089	-0.30247855	No	
row_24	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	7820	0.0457804836332798	-0.3250923	No	
row_25	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	8279	0.014253342524170876	-0.35188526	No	
row_26	UCK1	uridine-cytidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:14859]	8400	0.005514169577509165	-0.358879	No	
row_27	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	8468	0.00142197054810822	-0.3628083	No	
row_28	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	8886	-0.01671377755701542	-0.38714767	No	
row_29	FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	8951	-0.020815065130591393	-0.39061412	No	
row_30	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	9055	-0.02786136232316494	-0.3962761	No	
row_31	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	9075	-0.02956271730363369	-0.39696044	No	
row_32	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	9241	-0.04346073791384697	-0.40604785	No	
row_33	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	9317	-0.04947025701403618	-0.40974036	No	
row_34	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	9365	-0.05354946851730347	-0.41172192	No	
row_35	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	9429	-0.056926093995571136	-0.41459697	No	
row_36	TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]	9609	-0.07138149440288544	-0.42409816	No	
row_37	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684]	9986	-0.10022895783185959	-0.4447889	No	
row_38	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	10237	-0.11999674141407013	-0.45775935	No	
row_39	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	10243	-0.12032023072242737	-0.45628014	No	
