NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	1169	0.8123980760574341	-0.05791921	No	
row_1	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]	1214	0.7958109378814697	-0.04969615	No	
row_2	TAFAZZIN	tafazzin, phospholipid-lysophospholipid transacylase [Source:HGNC Symbol;Acc:HGNC:11577]	2079	0.6073729395866394	-0.092409566	No	
row_3	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	2529	0.5345931649208069	-0.11163007	No	
row_4	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	3816	0.391301691532135	-0.18217619	No	
row_5	SLC25A23	solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]	3867	0.3856184184551239	-0.17988351	No	
row_6	COX15	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]	4442	0.32740533351898193	-0.20929487	No	
row_7	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	4696	0.30539044737815857	-0.22006856	No	
row_8	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	5360	0.24566888809204102	-0.25584152	No	
row_9	MTCO2P12	MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]	5737	0.21694181859493256	-0.27507386	No	
row_10	SLC25A51	solute carrier family 25 member 51 [Source:HGNC Symbol;Acc:HGNC:23323]	6613	0.1438053846359253	-0.32473823	No	
row_11	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	6616	0.1436261683702469	-0.32290366	No	
row_12	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	6678	0.13702493906021118	-0.32463947	No	
row_13	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	6835	0.12485115975141525	-0.33214515	No	
row_14	NIPSNAP2	nipsnap homolog 2 [Source:HGNC Symbol;Acc:HGNC:4179]	6949	0.11669345200061798	-0.33722502	No	
row_15	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	7395	0.07851000130176544	-0.36240986	No	
row_16	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	7424	0.07551335543394089	-0.36303508	No	
row_17	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	7820	0.0457804836332798	-0.3857152	No	
row_18	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	8279	0.014253342524170876	-0.41254047	No	
row_19	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	8420	0.00436894316226244	-0.42074016	No	
row_20	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	8468	0.00142197054810822	-0.42349353	No	
row_21	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	8688	-0.00286516803316772	-0.4363742	No	
row_22	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	9055	-0.02786136232316494	-0.45758706	No	
row_23	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	9075	-0.02956271730363369	-0.45830604	No	
row_24	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	9241	-0.04346073791384697	-0.46744916	No	
row_25	ATP7A	ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]	9293	-0.04775523766875267	-0.4698086	No	
row_26	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	9365	-0.05354946851730347	-0.47326916	No	
row_27	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	9429	-0.056926093995571136	-0.47621188	No	
row_28	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684]	9986	-0.10022895783185959	-0.5076497	No	
row_29	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	10243	-0.12032023072242737	-0.5211164	No	
row_30	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]	10367	-0.13087527453899384	-0.5265933	No	
row_31	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	10376	-0.13146540522575378	-0.5252781	No	
row_32	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	10906	-0.17024323344230652	-0.55417126	No	
row_33	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	11057	-0.18236681818962097	-0.5605411	No	
row_34	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	11198	-0.1931200474500656	-0.5661748	No	
row_35	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	11463	-0.21440841257572174	-0.5788343	No	
row_36	UQCRC2	ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]	11488	-0.21703015267848969	-0.5772997	No	
row_37	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	11690	-0.23443768918514252	-0.5859703	No	
row_38	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	11713	-0.23638193309307098	-0.58405465	No	
row_39	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	11900	-0.25235310196876526	-0.5915968	No	
row_40	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	12202	-0.27810245752334595	-0.6055731	No	
row_41	AFG1L	AFG1 like ATPase [Source:HGNC Symbol;Acc:HGNC:16411]	12580	-0.3076639771461487	-0.6236311	Yes	
row_42	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]	12609	-0.3110488951206207	-0.62105435	Yes	
row_43	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	12684	-0.3184415102005005	-0.62109077	Yes	
row_44	COQ9	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	12716	-0.321004182100296	-0.6185556	Yes	
row_45	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	12728	-0.32234588265419006	-0.6148224	Yes	
row_46	ATPSCKMT	ATP synthase c subunit lysine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:27029]	12896	-0.33673420548439026	-0.6200965	Yes	
row_47	DNAJC30	DnaJ heat shock protein family (Hsp40) member C30 [Source:HGNC Symbol;Acc:HGNC:16410]	13033	-0.3500186502933502	-0.62336123	Yes	
row_48	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	13043	-0.3509940207004547	-0.61912054	Yes	
row_49	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]	13110	-0.358662486076355	-0.61813825	Yes	
