NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	169	1.6377506256103516	0.014669591	No	
row_1	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	254	1.4386663436889648	0.031352196	No	
row_2	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	325	1.3083878755569458	0.046900656	No	
row_3	HOXA13	homeobox A13 [Source:HGNC Symbol;Acc:HGNC:5102]	725	0.9565359950065613	0.037782256	No	
row_4	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	767	0.9425159692764282	0.049537938	No	
row_5	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	2362	0.5614123344421387	-0.03590208	No	
row_6	CUL9	cullin 9 [Source:HGNC Symbol;Acc:HGNC:15982]	2371	0.5597718358039856	-0.027957259	No	
row_7	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	2558	0.5297250747680664	-0.030947719	No	
row_8	CCDC8	coiled-coil domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25367]	2911	0.4872908592224121	-0.044352945	No	
row_9	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	3381	0.43493029475212097	-0.06543627	No	
row_10	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	3686	0.4060520827770233	-0.07723587	No	
row_11	NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	4128	0.35682499408721924	-0.09784438	No	
row_12	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	4239	0.3460841178894043	-0.0991197	No	
row_13	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	4283	0.3426044285297394	-0.0965013	No	
row_14	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	4432	0.32855430245399475	-0.100278236	No	
