NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DROSHA	drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]	1306	0.7717738151550293	-0.07370586	No	
row_1	RNASEL	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]	1345	0.7580142021179199	-0.07131748	No	
row_2	FBLL1	fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458]	1470	0.7295334935188293	-0.074271336	No	
row_3	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1617	0.6965993642807007	-0.078749865	No	
row_4	SMN2	survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]	1866	0.6409723162651062	-0.08969917	No	
row_5	MDN1	midasin AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:18302]	1984	0.6208298802375793	-0.09290238	No	
row_6	RPP25	ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]	2013	0.6164767146110535	-0.09078546	No	
row_7	EXOSC6	exosome component 6 [Source:HGNC Symbol;Acc:HGNC:19055]	2318	0.5678991675376892	-0.10554946	No	
row_8	TRMT61B	tRNA methyltransferase 61B [Source:HGNC Symbol;Acc:HGNC:26070]	2580	0.5261691808700562	-0.11798727	No	
row_9	URB1	URB1 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:17344]	2615	0.5216368436813354	-0.11681528	No	
row_10	FDXACB1	ferredoxin-fold anticodon binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25110]	2826	0.4961545765399933	-0.12637407	No	
row_11	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	2852	0.49320998787879944	-0.124836564	No	
row_12	SFSWAP	splicing factor SWAP [Source:HGNC Symbol;Acc:HGNC:10790]	2870	0.490861713886261	-0.1228329	No	
row_13	HELB	DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196]	3021	0.47274452447891235	-0.12893127	No	
row_14	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	3128	0.4588148295879364	-0.13247205	No	
row_15	METTL25B	methyltransferase like 25B [Source:HGNC Symbol;Acc:HGNC:24273]	3136	0.45787763595581055	-0.13007088	No	
row_16	SCAF11	SR-related CTD associated factor 11 [Source:HGNC Symbol;Acc:HGNC:10784]	3233	0.44500675797462463	-0.13309598	No	
row_17	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	3404	0.43282535672187805	-0.14064191	No	
row_18	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	3508	0.4244574010372162	-0.1442142	No	
row_19	AGO1	argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]	3536	0.4215681850910187	-0.14323835	No	
row_20	NSUN3	NOP2/Sun RNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:26208]	3610	0.41297319531440735	-0.14507905	No	
row_21	SRSF12	serine and arginine rich splicing factor 12 [Source:HGNC Symbol;Acc:HGNC:21220]	3621	0.41220638155937195	-0.14313957	No	
row_22	ZCCHC4	zinc finger CCHC-type containing 4 [Source:HGNC Symbol;Acc:HGNC:22917]	3834	0.3892829716205597	-0.15347712	No	
row_23	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	3894	0.3831008970737457	-0.15466084	No	
row_24	CELF6	CUGBP Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]	3928	0.379605233669281	-0.15430404	No	
row_25	SPATA5	spermatogenesis associated 5 [Source:HGNC Symbol;Acc:HGNC:18119]	4166	0.35266584157943726	-0.16636921	No	
row_26	DDX17	DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	4276	0.3430270850658417	-0.17080379	No	
