NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	5	3.0931427478790283	0.06734614	Yes	
row_1	CST2	cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]	27	2.56112003326416	0.12211687	Yes	
row_2	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	105	1.846057415008545	0.15795644	Yes	
row_3	OR51E2	olfactory receptor family 51 subfamily E member 2 [Source:HGNC Symbol;Acc:HGNC:15195]	261	1.4266290664672852	0.18003552	Yes	
row_4	SCNN1D	sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]	289	1.3710767030715942	0.20842963	Yes	
row_5	OR2A42	olfactory receptor family 2 subfamily A member 42 [Source:HGNC Symbol;Acc:HGNC:31230]	614	1.0088770389556885	0.21143162	Yes	
row_6	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	895	0.889468252658844	0.2144108	Yes	
row_7	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	1097	0.8305416703224182	0.22074871	Yes	
row_8	OR4F29	olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]	1146	0.8188663125038147	0.23583183	Yes	
row_9	OR4F21	olfactory receptor family 4 subfamily F member 21 [Source:HGNC Symbol;Acc:HGNC:19583]	1147	0.8187620639801025	0.25373638	Yes	
row_10	NXNL2	nucleoredoxin like 2 [Source:HGNC Symbol;Acc:HGNC:30482]	1173	0.811509907245636	0.27001163	Yes	
row_11	TRPV1	transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]	1273	0.781249463558197	0.281272	Yes	
row_12	OR5P3	olfactory receptor family 5 subfamily P member 3 [Source:HGNC Symbol;Acc:HGNC:14784]	1310	0.7694280743598938	0.29597992	Yes	
row_13	TAS2R10	taste 2 receptor member 10 [Source:HGNC Symbol;Acc:HGNC:14918]	1358	0.7555660009384155	0.30973762	Yes	
row_14	ASIC1	acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]	1418	0.7415105104446411	0.32248205	Yes	
row_15	OR2A1	olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]	1454	0.7336282134056091	0.33646595	Yes	
row_16	TAS2R46	taste 2 receptor member 46 [Source:HGNC Symbol;Acc:HGNC:18877]	1495	0.7253629565238953	0.349975	Yes	
