NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	Details ...	75	-0.7069448	-2.9363809	0.0	0.0	0.0	3512	tags=71%, list=21%, signal=89%	
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	Details ...	97	-0.6683348	-2.885598	0.0	0.0	0.0	3131	tags=64%, list=18%, signal=78%	
GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_OXIDATIVE_PHOSPHORYLATION	Details ...	140	-0.62811965	-2.8594959	0.0	0.0	0.0	4059	tags=66%, list=24%, signal=86%	
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	Details ...	118	-0.6144307	-2.736497	0.0	0.0	0.0	3331	tags=58%, list=19%, signal=71%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION	Details ...	131	-0.6063009	-2.7139752	0.0	0.0	0.0	4628	tags=66%, list=27%, signal=90%	
GOBP_ATP_BIOSYNTHETIC_PROCESS	GOBP_ATP_BIOSYNTHETIC_PROCESS	Details ...	102	-0.61322844	-2.663683	0.0	0.0	0.0	3740	tags=62%, list=22%, signal=79%	
GOBP_AEROBIC_RESPIRATION	GOBP_AEROBIC_RESPIRATION	Details ...	185	-0.56389767	-2.6542113	0.0	0.0	0.0	4512	tags=63%, list=26%, signal=84%	
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	Details ...	130	-0.5915584	-2.6143322	0.0	0.0	0.0	3740	tags=59%, list=22%, signal=75%	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Details ...	162	-0.56104624	-2.59775	0.0	0.0	0.0	4936	tags=63%, list=29%, signal=88%	
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	Details ...	59	-0.6606373	-2.5890791	0.0	0.0	0.0	3000	tags=58%, list=18%, signal=70%	
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	Details ...	50	-0.6735988	-2.5566466	0.0	0.0	0.0	3512	tags=64%, list=21%, signal=80%	
GOBP_CELLULAR_RESPIRATION	GOBP_CELLULAR_RESPIRATION	Details ...	228	-0.5205537	-2.5311944	0.0	0.0	0.0	4581	tags=58%, list=27%, signal=79%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	302	-0.4944679	-2.4844406	0.0	0.0	0.0	5774	tags=65%, list=34%, signal=97%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	157	-0.5385931	-2.4737332	0.0	0.0	0.0	5253	tags=69%, list=31%, signal=98%	
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	Details ...	98	-0.5721114	-2.4458377	0.0	0.0	0.0	3837	tags=57%, list=22%, signal=73%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	446	-0.46750888	-2.4338171	0.0	0.0	0.0	5660	tags=59%, list=33%, signal=86%	
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	Details ...	112	-0.5278908	-2.3388896	0.0	0.0	0.0	1554	tags=29%, list=9%, signal=32%	
GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	Details ...	48	-0.6324527	-2.3248558	0.0	0.0	0.0	1416	tags=35%, list=8%, signal=39%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Details ...	77	-0.56254834	-2.2914288	0.0	5.9724396E-5	0.001	5422	tags=71%, list=32%, signal=104%	
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	Details ...	61	-0.5767683	-2.2845101	0.0	1.1508094E-4	0.002	1416	tags=31%, list=8%, signal=34%	
GOBP_ELECTRON_TRANSPORT_CHAIN	GOBP_ELECTRON_TRANSPORT_CHAIN		167	-0.4969646	-2.2747498	0.0	1.0960089E-4	0.002	3017	tags=46%, list=18%, signal=55%	
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION		53	-0.6033442	-2.264889	0.0	1.0461904E-4	0.002	1416	tags=34%, list=8%, signal=37%	
GOBP_REGULATION_OF_NUCLEAR_DIVISION	GOBP_REGULATION_OF_NUCLEAR_DIVISION		131	-0.49980813	-2.257274	0.0	1.00070385E-4	0.002	1554	tags=28%, list=9%, signal=31%	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS		73	-0.5541365	-2.2571654	0.0	9.590078E-5	0.002	5128	tags=66%, list=30%, signal=94%	
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION		123	-0.5122704	-2.2542195	0.0	1.3951732E-4	0.003	1585	tags=24%, list=9%, signal=26%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS		263	-0.44959518	-2.2105825	0.0	4.0010083E-4	0.009	5446	tags=58%, list=32%, signal=84%	
GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	GOBP_REGULATION_OF_CHROMOSOME_SEPARATION		105	-0.5139904	-2.2015853	0.0	4.2859712E-4	0.01	1564	tags=24%, list=9%, signal=26%	
