NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTSS1	MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]	6	4.421334743499756	0.026773239	No	
row_1	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	20	3.8856770992279053	0.049846552	No	
row_2	PHACTR1	phosphatase and actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:20990]	211	2.5072171688079834	0.054010462	No	
row_3	SPIRE2	spire type actin nucleation factor 2 [Source:HGNC Symbol;Acc:HGNC:30623]	230	2.467562198638916	0.06808754	No	
row_4	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	478	1.9470834732055664	0.06544889	No	
row_5	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]	542	1.8686034679412842	0.07319378	No	
row_6	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	557	1.8555301427841187	0.08375188	No	
row_7	PLS1	plastin 1 [Source:HGNC Symbol;Acc:HGNC:9090]	599	1.8157832622528076	0.09247177	No	
row_8	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	708	1.713910698890686	0.096610315	No	
row_9	ARHGAP6	Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]	756	1.6739822626113892	0.10410588	No	
row_10	RHPN1	rhophilin Rho GTPase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19973]	800	1.6390867233276367	0.11162354	No	
row_11	SHANK3	SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]	1002	1.488966464996338	0.108890325	No	
row_12	BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	1248	1.3461462259292603	0.10268266	No	
row_13	AIF1L	allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]	1421	1.271996259689331	0.100330636	No	
row_14	RHPN2	rhophilin Rho GTPase binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19974]	1453	1.2592477798461914	0.10622635	No	
row_15	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	1604	1.1997150182724	0.10472992	No	
row_16	FAM107A	family with sequence similarity 107 member A [Source:HGNC Symbol;Acc:HGNC:30827]	1670	1.1726616621017456	0.1080867	No	
row_17	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	2070	1.0508984327316284	0.09097391	No	
row_18	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	2196	1.0241471529006958	0.0898765	No	
row_19	SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	2220	1.0156798362731934	0.09475017	No	
row_20	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]	2243	1.0079723596572876	0.0996356	No	
row_21	S1PR1	sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]	2309	0.9940582513809204	0.10189654	No	
row_22	SHTN1	shootin 1 [Source:HGNC Symbol;Acc:HGNC:29319]	2526	0.9422401189804077	0.094923094	No	
row_23	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18 [Source:HGNC Symbol;Acc:HGNC:17090]	2558	0.9364333748817444	0.09883814	No	
row_24	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	2696	0.9090161323547363	0.09632575	No	
row_25	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	2739	0.901639997959137	0.09937778	No	
row_26	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	2859	0.8735330700874329	0.09771056	No	
row_27	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	3208	0.8017899394035339	0.08208086	No	
row_28	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	3400	0.760890543460846	0.07547096	No	
row_29	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	3500	0.7435621023178101	0.07418728	No	
row_30	ESPN	espin [Source:HGNC Symbol;Acc:HGNC:13281]	3994	0.6595043540000916	0.049122423	No	
row_31	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	4942	0.5056026577949524	-0.0036950947	No	
row_32	CLASP2	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	5453	0.4347666800022125	-0.031142687	No	
row_33	PPFIA1	PTPRF interacting protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:9245]	5501	0.4313649833202362	-0.031271324	No	
row_34	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	5691	0.4111425280570984	-0.039909035	No	
row_35	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	5705	0.40883317589759827	-0.03816824	No	
row_36	ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	5775	0.3987506031990051	-0.03979607	No	
row_37	FHDC1	FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363]	5795	0.39693400263786316	-0.03848258	No	
row_38	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	5860	0.387277215719223	-0.03988556	No	
row_39	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	5928	0.3773215413093567	-0.04152677	No	
row_40	CORO1B	coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]	6001	0.3699086904525757	-0.04350871	No	
row_41	ARHGEF5	Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]	6011	0.36918845772743225	-0.04177496	No	
row_42	ALMS1	ALMS1 centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428]	6209	0.3403797447681427	-0.051319238	No	
row_43	ARHGAP28	Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509]	6252	0.33594027161598206	-0.051738113	No	
row_44	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	6334	0.32519084215164185	-0.054525867	No	
row_45	PDXP	pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259]	6451	0.31174173951148987	-0.059462868	No	
row_46	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]	6787	0.2685081660747528	-0.077596925	No	
row_47	EVL	Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]	6923	0.24918031692504883	-0.08403971	No	
row_48	FSCN3	fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]	6940	0.24730923771858215	-0.08346711	No	
row_49	WASF2	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	6982	0.24197857081890106	-0.08440345	No	
row_50	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	7111	0.22719040513038635	-0.09056781	No	
row_51	TESK1	testis associated actin remodelling kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731]	7532	0.17776724696159363	-0.11427781	No	
row_52	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	7678	0.1623370498418808	-0.12184393	No	
