NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	7	4.40310001373291	0.02294026	Yes	
row_1	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	83	3.1576168537139893	0.035236675	Yes	
row_2	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	225	2.4812204837799072	0.040026665	Yes	
row_3	UNC13D	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]	379	2.099081039428711	0.042077165	Yes	
row_4	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]	401	2.058279275894165	0.05174832	Yes	
row_5	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	469	1.9530566930770874	0.058130227	Yes	
row_6	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	555	1.8561909198760986	0.06292962	Yes	
row_7	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	628	1.7844147682189941	0.06812012	Yes	
row_8	MICA	MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]	632	1.780465006828308	0.077386335	Yes	
row_9	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	652	1.765524983406067	0.08562334	Yes	
row_10	SLFN11	schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633]	678	1.740201711654663	0.0933698	Yes	
row_11	SELENOK	selenoprotein K [Source:HGNC Symbol;Acc:HGNC:30394]	745	1.6810649633407593	0.09836832	Yes	
row_12	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	773	1.666838526725769	0.10560688	Yes	
row_13	AKAP1	A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]	833	1.6175363063812256	0.110684015	Yes	
row_14	GPATCH3	G-patch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25720]	879	1.5743879079818726	0.11636349	Yes	
row_15	TBKBP1	TBK1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:30140]	904	1.553514838218689	0.12317905	Yes	
row_16	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	920	1.5414586067199707	0.130465	Yes	
row_17	IL12RB1	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	939	1.5261472463607788	0.13749163	Yes	
row_18	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	1075	1.436907410621643	0.13709837	Yes	
row_19	TLR9	toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]	1088	1.4275856018066406	0.14395842	Yes	
