NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	179	2.607672929763794	0.051049396	Yes	
row_1	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	249	2.4008169174194336	0.103669055	Yes	
row_2	ABHD6	abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]	269	2.342682361602783	0.15784961	Yes	
row_3	SMPD2	sphingomyelin phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:11121]	455	1.9782922267913818	0.19369155	Yes	
row_4	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	661	1.75601065158844	0.22311367	Yes	
row_5	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	685	1.733796238899231	0.26268783	Yes	
row_6	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]	1004	1.4857826232910156	0.27910295	Yes	
row_7	LIPG	lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]	1015	1.475105881690979	0.31333375	Yes	
row_8	PLA2G15	phospholipase A2 group XV [Source:HGNC Symbol;Acc:HGNC:17163]	1037	1.4602360725402832	0.34656832	Yes	
row_9	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	1093	1.4268245697021484	0.37701976	Yes	
row_10	PNPLA7	patatin like phospholipase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:24768]	1122	1.4134904146194458	0.40874034	Yes	
row_11	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	1211	1.3637288808822632	0.4357667	Yes	
row_12	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	1645	1.1816436052322388	0.43825704	Yes	
row_13	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20883]	1666	1.174001932144165	0.4647942	Yes	
