NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1148	1.3976362943649292	-0.049801957	No	
row_1	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	1224	1.3572850227355957	-0.036947656	No	
row_2	INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	1612	1.1983599662780762	-0.044483542	No	
row_3	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]	2242	1.0087823867797852	-0.06867859	No	
row_4	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	2872	0.8712896704673767	-0.09462305	No	
row_5	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	3069	0.8306115865707397	-0.095593505	No	
row_6	BCL7A	BAF chromatin remodeling complex subunit BCL7A [Source:HGNC Symbol;Acc:HGNC:1004]	3257	0.7906537055969238	-0.09654252	No	
row_7	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	3411	0.7594199180603027	-0.0958873	No	
row_8	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	3775	0.6968475580215454	-0.10839136	No	
row_9	MAD2L1BP	MAD2L1 binding protein [Source:HGNC Symbol;Acc:HGNC:21059]	4467	0.5750144124031067	-0.14175561	No	
row_10	BRD7	bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]	4567	0.5585430860519409	-0.1404772	No	
row_11	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]	4723	0.5387482643127441	-0.14274748	No	
row_12	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	4852	0.5191798806190491	-0.1436772	No	
row_13	DPF2	double PHD fingers 2 [Source:HGNC Symbol;Acc:HGNC:9964]	5456	0.43444526195526123	-0.17364928	No	
row_14	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	5469	0.4329971373081207	-0.16884641	No	
row_15	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	5786	0.39746686816215515	-0.18239272	No	
row_16	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	6202	0.3406584560871124	-0.20249017	No	
