NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	7	4.40310001373291	0.07832134	Yes	
row_1	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	83	3.1576168537139893	0.13037764	Yes	
row_2	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	469	1.9530566930770874	0.1426854	Yes	
row_3	SELENOK	selenoprotein K [Source:HGNC Symbol;Acc:HGNC:30394]	745	1.6810649633407593	0.15659112	Yes	
row_4	GPATCH3	G-patch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25720]	879	1.5743879079818726	0.1769305	Yes	
row_5	IL12RB1	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	939	1.5261472463607788	0.20075408	Yes	
row_6	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	1075	1.436907410621643	0.21851766	Yes	
row_7	DTX3L	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	1137	1.4030121564865112	0.24002197	Yes	
row_8	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1147	1.3976571559906006	0.26448503	Yes	
row_9	PYCARD	PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]	1240	1.3506349325180054	0.2832318	Yes	
row_10	IFIT1B	interferon induced protein with tetratricopeptide repeats 1B [Source:HGNC Symbol;Acc:HGNC:23442]	1303	1.3248258829116821	0.3032793	Yes	
row_11	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1305	1.3241974115371704	0.32689875	Yes	
row_12	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1466	1.2523430585861206	0.33989358	Yes	
row_13	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	1617	1.1942137479782104	0.35243642	Yes	
row_14	PQBP1	polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330]	1718	1.1587779521942139	0.36728266	Yes	
row_15	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]	1726	1.1548901796340942	0.38752222	Yes	
row_16	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	1787	1.13450288772583	0.40428403	Yes	
row_17	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	1790	1.1333327293395996	0.42443183	Yes	
row_18	TRAF3IP1	TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]	1858	1.1142078638076782	0.44041955	Yes	
row_19	ILRUN	inflammation and lipid regulator with UBA-like and NBR1-like domains [Source:HGNC Symbol;Acc:HGNC:21215]	1975	1.078870177268982	0.45289707	Yes	
row_20	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]	1999	1.0701866149902344	0.4706822	Yes	
row_21	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	2248	1.0067205429077148	0.47411588	Yes	
row_22	IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	2251	1.0061315298080444	0.4919892	Yes	
row_23	ZDHHC1	zinc finger DHHC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:17916]	2738	0.9016425609588623	0.47956365	Yes	
row_24	TRIM38	tripartite motif containing 38 [Source:HGNC Symbol;Acc:HGNC:10059]	2827	0.8821132779121399	0.4901677	Yes	
row_25	CGAS	cyclic GMP-AMP synthase [Source:HGNC Symbol;Acc:HGNC:21367]	3175	0.8100173473358154	0.48426875	Yes	
row_26	TRAF3IP2	TRAF3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1343]	3372	0.7685717940330505	0.48649853	Yes	
row_27	TRIM6	tripartite motif containing 6 [Source:HGNC Symbol;Acc:HGNC:16277]	3401	0.7606050968170166	0.4984543	Yes	
row_28	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	3890	0.6780076026916504	0.48191246	Yes	
row_29	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	3928	0.6706184148788452	0.49173048	Yes	
row_30	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	4035	0.6526319980621338	0.4971738	Yes	
row_31	MUL1	mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]	4091	0.6429150104522705	0.5054391	Yes	
row_32	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]	4159	0.6302940249443054	0.5127739	Yes	
row_33	NPLOC4	NPL4 homolog, ubiquitin recognition factor [Source:HGNC Symbol;Acc:HGNC:18261]	4273	0.6099156737327576	0.5170422	Yes	
row_34	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	4461	0.5769296288490295	0.5163739	No	
row_35	STING1	stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]	4950	0.5044987797737122	0.4967295	No	
row_36	UFD1	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]	5100	0.48354753851890564	0.49662352	No	
row_37	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	5452	0.43477874994277954	0.4837799	No	
row_38	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]	6757	0.27168914675712585	0.4120403	No	
row_39	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	7697	0.16068829596042633	0.35975614	No	
row_40	MAVS	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]	8107	0.11507386714220047	0.3377889	No	
row_41	TARBP2	TARBP2 subunit of RISC loading complex [Source:HGNC Symbol;Acc:HGNC:11569]	8324	0.08942622691392899	0.32669997	No	
row_42	SIN3A	SIN3 transcription regulator family member A [Source:HGNC Symbol;Acc:HGNC:19353]	8953	0.008426519110798836	0.28996155	No	
row_43	ZDHHC11	zinc finger DHHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:19158]	9017	0.0018860420677810907	0.2862946	No	
row_44	PCBP2	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]	9806	-0.06935073435306549	0.24124709	No	
row_45	RNF216	ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]	10036	-0.09571754187345505	0.22950703	No	
row_46	RNF26	ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646]	10239	-0.12182998657226562	0.21981989	No	
row_47	ATG12	autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]	10369	-0.13991864025592804	0.21474427	No	
row_48	RNF125	ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150]	10467	-0.15199920535087585	0.21176435	No	
row_49	SEC14L1	SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]	10604	-0.1709602177143097	0.20683259	No	
row_50	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	10708	-0.1837642788887024	0.20406823	No	
row_51	ATG5	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]	10784	-0.19251511991024017	0.20310508	No	
row_52	ZMPSTE24	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]	10821	-0.19752155244350433	0.20452233	No	
row_53	DHX9	DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]	11459	-0.2830089032649994	0.17216508	No	
row_54	CCDC92	coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]	11658	-0.30873584747314453	0.166055	No	
row_55	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]	11756	-0.3221765160560608	0.16611806	No	
row_56	NLRX1	NLR family member X1 [Source:HGNC Symbol;Acc:HGNC:29890]	11797	-0.32654494047164917	0.16960743	No	
row_57	ELMOD2	ELMO domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28111]	11886	-0.3381466865539551	0.1704847	No	
row_58	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	13001	-0.49330970644950867	0.113868624	No	
