NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	296	2.259831190109253	0.018052666	No	
row_1	UNC13D	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]	379	2.099081039428711	0.04615086	No	
row_2	WASHC2C	WASH complex subunit 2C [Source:HGNC Symbol;Acc:HGNC:23414]	447	1.9864205121994019	0.07336336	No	
row_3	MELTF	melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]	493	1.9248287677764893	0.10090194	No	
row_4	CSPG5	chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467]	2129	1.0361266136169434	0.021141175	No	
row_5	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	2696	0.9090161323547363	0.0021589235	No	
row_6	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	2723	0.9040499925613403	0.014807552	No	
row_7	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	2771	0.8952037692070007	0.026084356	No	
row_8	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]	3394	0.7624899744987488	0.0015162843	No	
row_9	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	3400	0.760890543460846	0.013153316	No	
row_10	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	4404	0.5865781307220459	-0.036545306	No	
row_11	AP1AR	adaptor related protein complex 1 associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28808]	4734	0.5372526049613953	-0.04744013	No	
row_12	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	4849	0.5195217728614807	-0.045988187	No	
row_13	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	4883	0.5133184790611267	-0.039877202	No	
row_14	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	4970	0.5024386048316956	-0.037048962	No	
row_15	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	5384	0.44294095039367676	-0.054355048	No	
row_16	RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]	6188	0.3424803912639618	-0.0961371	No	
row_17	ARHGEF7	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	6755	0.27176591753959656	-0.12511133	No	
row_18	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]	6787	0.2685081660747528	-0.12272148	No	
row_19	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	6938	0.24747133255004883	-0.12764916	No	
row_20	TESK1	testis associated actin remodelling kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731]	7532	0.17776724696159363	-0.1596827	No	
row_21	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	7833	0.14501474797725677	-0.17502487	No	
row_22	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	8168	0.10812722146511078	-0.1929419	No	
row_23	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	8549	0.05861339345574379	-0.21433643	No	
row_24	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	9512	-0.03741798177361488	-0.27023825	No	
row_25	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	10081	-0.10122334212064743	-0.302004	No	
row_26	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	10420	-0.14587076008319855	-0.3195641	No	
row_27	LIMS1	LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]	10989	-0.2228681445121765	-0.34942248	No	
row_28	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	11278	-0.25897982716560364	-0.36227304	No	
row_29	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	11496	-0.28757908940315247	-0.37050608	No	
row_30	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	11594	-0.3001885414123535	-0.371495	No	
row_31	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	13268	-0.5319108963012695	-0.46139315	No	
row_32	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	13787	-0.6203519105911255	-0.48208305	No	
row_33	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	13940	-0.6526026725769043	-0.48077577	No	
row_34	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	14293	-0.7269980907440186	-0.49004596	No	
row_35	CARMIL1	capping protein regulator and myosin 1 linker 1 [Source:HGNC Symbol;Acc:HGNC:21581]	15076	-0.9162724018096924	-0.5215979	Yes	
row_36	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	15137	-0.9393046498298645	-0.510393	Yes	
