NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	95	3.044930934906006	0.020653903	Yes	
row_1	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	111	2.95969557762146	0.045289297	Yes	
row_2	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	196	2.5497570037841797	0.062322114	Yes	
row_3	PIP4P1	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19299]	255	2.3809893131256104	0.079432584	Yes	
row_4	APOBR	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	293	2.266995429992676	0.09679821	Yes	
row_5	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]	545	1.8670443296432495	0.09809886	Yes	
row_6	TSKU	tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]	576	1.83370041847229	0.112141125	Yes	
row_7	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	606	1.8094803094863892	0.12603351	Yes	
row_8	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	631	1.781234860420227	0.13997713	Yes	
row_9	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	685	1.733796238899231	0.151802	Yes	
row_10	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	709	1.7136822938919067	0.16522211	Yes	
row_11	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	771	1.668182134628296	0.1760096	Yes	
row_12	OSBPL1A	oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]	780	1.6564353704452515	0.18982042	Yes	
row_13	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	807	1.6328999996185303	0.20236713	Yes	
row_14	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	812	1.6308039426803589	0.21619278	Yes	
row_15	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	840	1.6092939376831055	0.22847699	Yes	
