NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	95	3.044930934906006	0.019149624	Yes	
row_1	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	111	2.95969557762146	0.042324193	Yes	
row_2	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	196	2.5497570037841797	0.05809728	Yes	
row_3	PIP4P1	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19299]	255	2.3809893131256104	0.07403176	Yes	
row_4	APOBR	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	293	2.266995429992676	0.09027802	Yes	
row_5	CYP19A1	cytochrome P450 family 19 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2594]	331	2.18839168548584	0.10588531	Yes	
row_6	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]	545	1.8670443296432495	0.1085012	Yes	
row_7	TSKU	tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]	576	1.83370041847229	0.121638045	Yes	
row_8	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	606	1.8094803094863892	0.13463697	Yes	
row_9	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	631	1.781234860420227	0.14770116	Yes	
row_10	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	685	1.733796238899231	0.15866952	Yes	
row_11	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	709	1.7136822938919067	0.17124355	Yes	
row_12	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	771	1.668182134628296	0.18120675	Yes	
row_13	OSBPL1A	oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]	780	1.6564353704452515	0.19420002	Yes	
row_14	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	807	1.6328999996185303	0.20594046	Yes	
row_15	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	812	1.6308039426803589	0.21896125	Yes	
row_16	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	840	1.6092939376831055	0.23045084	Yes	
row_17	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	881	1.5734190940856934	0.24088214	Yes	
row_18	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	925	1.5365188121795654	0.25083658	Yes	
row_19	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	928	1.5352500677108765	0.26319855	Yes	
row_20	CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	942	1.5239461660385132	0.27481997	Yes	
row_21	LIPE	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	969	1.5118759870529175	0.2855766	Yes	
row_22	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	1211	1.3637288808822632	0.28244984	Yes	
row_23	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	1236	1.352612018585205	0.2920298	Yes	
row_24	STAR	steroidogenic acute regulatory protein [Source:HGNC Symbol;Acc:HGNC:11359]	1378	1.291327953338623	0.29421178	Yes	
row_25	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	1416	1.2743113040924072	0.30238855	Yes	
row_26	APOL1	apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]	1431	1.268660545349121	0.3118758	Yes	
row_27	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	1435	1.26665461063385	0.32199544	Yes	
row_28	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	1436	1.266022801399231	0.33228683	Yes	
row_29	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	1438	1.2656880617141724	0.34251654	Yes	
row_30	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	1450	1.2598377466201782	0.352109	Yes	
row_31	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	1713	1.1592073440551758	0.34608126	Yes	
row_32	SREBF2	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]	1752	1.1470271348953247	0.3531644	Yes	
row_33	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	1792	1.1320761442184448	0.36006704	Yes	
row_34	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	1846	1.116265892982483	0.36601552	Yes	
row_35	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	1864	1.1121999025344849	0.37405398	Yes	
row_36	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	2029	1.0618782043457031	0.3730144	Yes	
