NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	20	3.8856770992279053	0.03602543	No	
row_1	PHACTR1	phosphatase and actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:20990]	211	2.5072171688079834	0.04884536	No	
row_2	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	478	1.9470834732055664	0.05182837	No	
row_3	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]	542	1.8686034679412842	0.0660103	No	
row_4	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	557	1.8555301427841187	0.08295162	No	
row_5	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	708	1.713910698890686	0.0905309	No	
row_6	ARHGAP6	Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]	756	1.6739822626113892	0.103791356	No	
row_7	RHPN1	rhophilin Rho GTPase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19973]	800	1.6390867233276367	0.11695319	No	
row_8	RHPN2	rhophilin Rho GTPase binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19974]	1453	1.2592477798461914	0.090627365	No	
row_9	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	2070	1.0508984327316284	0.064426	No	
row_10	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	2196	1.0241471529006958	0.06687296	No	
row_11	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]	2243	1.0079723596572876	0.07381568	No	
row_12	S1PR1	sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]	2309	0.9940582513809204	0.07950668	No	
row_13	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18 [Source:HGNC Symbol;Acc:HGNC:17090]	2558	0.9364333748817444	0.07387301	No	
row_14	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	2739	0.901639997959137	0.071909286	No	
