NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	Details ...	63	0.62150437	2.2709267	0.0	8.53144E-4	0.001	3963	tags=52%, list=23%, signal=68%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	Details ...	30	0.68505734	2.1843374	0.0	4.26572E-4	0.001	3348	tags=63%, list=20%, signal=79%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	Details ...	35	0.64839584	2.0957828	0.0	0.008036648	0.028	3348	tags=57%, list=20%, signal=71%	
GOBP_STEROL_METABOLIC_PROCESS	GOBP_STEROL_METABOLIC_PROCESS	Details ...	134	0.48727873	2.035948	0.0	0.020182973	0.09	3126	tags=45%, list=18%, signal=54%	
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS	GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS	Details ...	129	0.4901411	2.0329337	0.0	0.01734579	0.095	2929	tags=43%, list=17%, signal=51%	
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	Details ...	63	0.5439793	2.0120752	0.0	0.020752091	0.132	4953	tags=62%, list=29%, signal=87%	
GOBP_SPHINGOID_METABOLIC_PROCESS	GOBP_SPHINGOID_METABOLIC_PROCESS	Details ...	21	0.6845238	2.009397	0.0	0.018766996	0.139	2480	tags=48%, list=15%, signal=56%	
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	Details ...	248	0.4465467	2.0069613	0.0	0.017173631	0.146	4301	tags=45%, list=25%, signal=59%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	Details ...	20	0.699458	2.0031312	0.0	0.016023124	0.154	3348	tags=65%, list=20%, signal=81%	
GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	Details ...	28	0.62807566	1.9779352	0.0	0.021993132	0.219	3963	tags=50%, list=23%, signal=65%	
