NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANKRD53	ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]	33	2.6143970489501953	0.014150386	No	
row_1	CORT	cortistatin [Source:HGNC Symbol;Acc:HGNC:2257]	737	1.135697364807129	-0.020861214	No	
row_2	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	949	1.0031921863555908	-0.027285222	No	
row_3	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	1094	0.9354413151741028	-0.030122738	No	
row_4	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	1241	0.8762938380241394	-0.033444542	No	
row_5	ZCWPW1	zinc finger CW-type and PWWP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23486]	1399	0.828046977519989	-0.0377213	No	
row_6	RGS14	regulator of G protein signaling 14 [Source:HGNC Symbol;Acc:HGNC:9996]	1490	0.7995244860649109	-0.03816965	No	
row_7	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1770	0.7168499231338501	-0.050423563	No	
row_8	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	1781	0.7119980454444885	-0.046630416	No	
row_9	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	1819	0.7029070258140564	-0.04450701	No	
row_10	AURKC	aurora kinase C [Source:HGNC Symbol;Acc:HGNC:11391]	2071	0.6376269459724426	-0.05557604	No	
row_11	PCID2	PCI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25653]	2130	0.6206696033477783	-0.055214863	No	
row_12	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	2136	0.6200308799743652	-0.05169004	No	
row_13	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	2150	0.6166835427284241	-0.048663985	No	
row_14	KLHDC8B	kelch domain containing 8B [Source:HGNC Symbol;Acc:HGNC:28557]	2152	0.6163226962089539	-0.044922967	No	
row_15	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2167	0.6133540868759155	-0.04197721	No	
row_16	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	2310	0.5874989628791809	-0.04684091	No	
row_17	BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	2320	0.5856048464775085	-0.043767452	No	
row_18	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	2453	0.5600032210350037	-0.04820306	No	
row_19	EHMT2	euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	2645	0.5261797904968262	-0.056373425	No	
row_20	UVRAG	UV radiation resistance associated [Source:HGNC Symbol;Acc:HGNC:12640]	2648	0.5259581208229065	-0.05324944	No	
row_21	RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	2662	0.5225943326950073	-0.050803624	No	
row_22	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	2696	0.5164135098457336	-0.049591236	No	
row_23	NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]	2747	0.5065720081329346	-0.049455557	No	
row_24	DCTN2	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	2847	0.4933967590332031	-0.05232965	No	
row_25	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	2906	0.4863259792327881	-0.05279695	No	
row_26	SETDB2	SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263]	3083	0.4578019976615906	-0.060492508	No	
row_27	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	3089	0.4574594497680664	-0.05797024	No	
row_28	TEX12	testis expressed 12 [Source:HGNC Symbol;Acc:HGNC:11734]	3118	0.45294660329818726	-0.05685042	No	
row_29	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]	3150	0.4485839009284973	-0.055936795	No	
row_30	RNF212	ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]	3170	0.44549089670181274	-0.05432506	No	
row_31	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	3357	0.42745864391326904	-0.0628054	No	
row_32	SYCE1L	synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236]	3367	0.4265166223049164	-0.060713015	No	
row_33	NSL1	NSL1 component of MIS12 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24548]	3405	0.4215538501739502	-0.06032468	No	
row_34	MAP10	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	3501	0.41033223271369934	-0.06347196	No	
row_35	SUN1	Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18587]	3536	0.40570810437202454	-0.06300204	No	
row_36	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	3689	0.38718917965888977	-0.069698684	No	
row_37	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:HGNC Symbol;Acc:HGNC:11107]	3763	0.3785068988800049	-0.07172738	No	
row_38	SLF1	SMC5-SMC6 complex localization factor 1 [Source:HGNC Symbol;Acc:HGNC:25408]	3810	0.37188881635665894	-0.07218321	No	
row_39	SYCE2	synaptonemal complex central element protein 2 [Source:HGNC Symbol;Acc:HGNC:27411]	4014	0.3468344509601593	-0.08217677	No	
row_40	ARL8B	ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]	4079	0.3388020396232605	-0.083912425	No	
row_41	BOD1	biorientation of chromosomes in cell division 1 [Source:HGNC Symbol;Acc:HGNC:25114]	4275	0.31631726026535034	-0.09361605	No	
row_42	REC8	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	4305	0.3131192922592163	-0.09341829	No	
