NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	60	2.3644826412200928	0.2063895	Yes	
row_1	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	345	1.540238857269287	0.32648522	Yes	
row_2	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	1031	0.9656421542167664	0.3720802	Yes	
row_3	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	1156	0.9090981483459473	0.44552022	Yes	
row_4	CAV3	caveolin 3 [Source:HGNC Symbol;Acc:HGNC:1529]	1410	0.824354350566864	0.5038801	Yes	
row_5	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	1684	0.7398642897605896	0.55356777	Yes	
row_6	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	1780	0.7122979164123535	0.611236	Yes	
row_7	SCN1B	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]	2333	0.5835049152374268	0.63069856	Yes	
row_8	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	2412	0.5686741471290588	0.6766126	Yes	
row_9	RANGRF	RAN guanine nucleotide release factor [Source:HGNC Symbol;Acc:HGNC:17679]	4215	0.32289963960647583	0.5997124	No	
row_10	SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	4555	0.2850969433784485	0.60516214	No	
row_11	SCN5A	sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593]	7018	0.06300428509712219	0.46652564	No	
row_12	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	7144	0.05232960730791092	0.46384835	No	
row_13	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	7615	0.015132807195186615	0.43765807	No	
row_14	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	8032	-1.5581322077196091E-4	0.41330165	No	
row_15	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 [Source:HGNC Symbol;Acc:HGNC:4846]	8618	-0.03786696866154671	0.38239262	No	
row_16	SLMAP	sarcolemma associated protein [Source:HGNC Symbol;Acc:HGNC:16643]	8853	-0.05233847722411156	0.37333062	No	
row_17	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4 [Source:HGNC Symbol;Acc:HGNC:16882]	9119	-0.06976746022701263	0.36399987	No	
row_18	SCN4B	sodium voltage-gated channel beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:10592]	10572	-0.1813548356294632	0.29503793	No	
row_19	SCN2B	sodium voltage-gated channel beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:10589]	13530	-0.42670124769210815	0.15969001	No	
row_20	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	14682	-0.5497609376907349	0.14106621	No	
