NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	115	2.1261298656463623	0.020963179	No	
row_1	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	259	1.6707900762557983	0.03433369	No	
row_2	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	328	1.565203309059143	0.05074857	No	
row_3	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	1105	0.9306854009628296	0.017138354	No	
row_4	PIWIL2	piwi like RNA-mediated gene silencing 2 [Source:HGNC Symbol;Acc:HGNC:17644]	1129	0.920539379119873	0.027794328	No	
row_5	LRP5	LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]	1220	0.8825023174285889	0.034003485	No	
row_6	NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	1243	0.8752045035362244	0.044126846	No	
row_7	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	1434	0.8148350715637207	0.043556787	No	
row_8	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	1547	0.7824153304100037	0.047162738	No	
row_9	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	1819	0.7029070258140564	0.04035619	No	
row_10	HOXA13	homeobox A13 [Source:HGNC Symbol;Acc:HGNC:5102]	1832	0.6993656158447266	0.048774652	No	
row_11	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	2020	0.6497154831886292	0.046226837	No	
row_12	PCID2	PCI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25653]	2130	0.6206696033477783	0.04789906	No	
row_13	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	2150	0.6166835427284241	0.054825872	No	
row_14	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2167	0.6133540868759155	0.061886124	No	
row_15	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	2310	0.5874989628791809	0.06117975	No	
row_16	RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	2662	0.5225943326950073	0.04730332	No	
