NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	3	3.2581045627593994	0.039437182	Yes	
row_1	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	60	2.3644826412200928	0.06488172	Yes	
row_2	ADRA1B	adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]	84	2.2405459880828857	0.090766594	Yes	
row_3	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	157	1.9608573913574219	0.11035947	Yes	
row_4	SYNM	synemin [Source:HGNC Symbol;Acc:HGNC:24466]	184	1.880698561668396	0.13169205	Yes	
row_5	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	190	1.8650219440460205	0.1540732	Yes	
row_6	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	345	1.540238857269287	0.16371329	Yes	
row_7	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	386	1.4717519283294678	0.17924754	Yes	
row_8	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	398	1.4619792699813843	0.19637418	Yes	
row_9	KCNJ5	potassium inwardly rectifying channel subfamily J member 5 [Source:HGNC Symbol;Acc:HGNC:6266]	423	1.4271401166915894	0.2123101	Yes	
row_10	CHRNB1	cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]	446	1.40804922580719	0.22813195	Yes	
row_11	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	449	1.405825138092041	0.24510689	Yes	
row_12	KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240]	466	1.386111855506897	0.26101604	Yes	
row_13	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	524	1.3250746726989746	0.27376375	Yes	
row_14	TMEM38A	transmembrane protein 38A [Source:HGNC Symbol;Acc:HGNC:28462]	531	1.3193162679672241	0.28945082	Yes	
row_15	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	615	1.233898639678955	0.29955578	Yes	
row_16	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	641	1.2062046527862549	0.31274644	Yes	
row_17	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	703	1.1625601053237915	0.32328215	Yes	
row_18	SNTA1	syntrophin alpha 1 [Source:HGNC Symbol;Acc:HGNC:11167]	729	1.1412070989608765	0.3356825	Yes	
row_19	TRPV4	transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083]	781	1.1103447675704956	0.34617344	Yes	
row_20	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	1031	0.9656421542167664	0.34322152	Yes	
row_21	ADORA1	adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]	1120	0.9250839352607727	0.34927663	Yes	
row_22	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	1156	0.9090981483459473	0.35826477	Yes	
row_23	PLN	phospholamban [Source:HGNC Symbol;Acc:HGNC:9080]	1213	0.8855237364768982	0.36572716	Yes	
