NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	Details ...	61	-0.5972654	-2.2863343	0.0	0.0020791967	0.002	2029	tags=33%, list=12%, signal=37%	
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	Details ...	123	-0.51047933	-2.1883066	0.0	0.007442724	0.014	2818	tags=32%, list=16%, signal=38%	
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	Details ...	112	-0.51955044	-2.1868079	0.0	0.004961816	0.014	1861	tags=29%, list=11%, signal=33%	
GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	Details ...	105	-0.519463	-2.1828299	0.0	0.003721362	0.014	2818	tags=32%, list=16%, signal=39%	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION	Details ...	230	-0.4607117	-2.1644802	0.0	0.004665036	0.022	2717	tags=28%, list=16%, signal=33%	
GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION	Details ...	129	-0.49893096	-2.1509094	0.0	0.0044243587	0.025	3238	tags=34%, list=19%, signal=42%	
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	Details ...	53	-0.58076036	-2.1442137	0.0	0.0044024163	0.029	2029	tags=34%, list=12%, signal=38%	
GOBP_MITOTIC_NUCLEAR_DIVISION	GOBP_MITOTIC_NUCLEAR_DIVISION	Details ...	315	-0.43991336	-2.139103	0.0	0.003986402	0.03	2818	tags=28%, list=16%, signal=32%	
GOBP_PROTEIN_HYDROXYLATION	GOBP_PROTEIN_HYDROXYLATION	Details ...	27	-0.68355536	-2.1332963	0.0	0.003661116	0.031	2422	tags=56%, list=14%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	Details ...	48	-0.5960902	-2.123324	0.0	0.0040290174	0.038	2029	tags=35%, list=12%, signal=40%	
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	Details ...	302	-0.4292456	-2.0906067	0.0	0.006550251	0.066	2717	tags=27%, list=16%, signal=31%	
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	GOBP_MITOTIC_CHROMOSOME_CONDENSATION	Details ...	19	-0.71747684	-2.0743737	0.0	0.007072675	0.078	867	tags=32%, list=5%, signal=33%	
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	Details ...	94	-0.50475174	-2.0669456	0.0	0.007095718	0.085	2818	tags=31%, list=16%, signal=37%	
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	242	-0.42870313	-2.0177066	0.0	0.016861847	0.206	4194	tags=37%, list=25%, signal=49%	
GOBP_REGULATION_OF_NUCLEAR_DIVISION	GOBP_REGULATION_OF_NUCLEAR_DIVISION	Details ...	131	-0.4685636	-2.013431	0.0	0.0170931	0.224	2029	tags=30%, list=12%, signal=34%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	Details ...	359	-0.41106606	-2.0085223	0.0	0.016691264	0.232	4316	tags=36%, list=25%, signal=47%	
GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION	GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION	Details ...	29	-0.6193496	-2.00465	0.0	0.01639205	0.241	2470	tags=48%, list=14%, signal=56%	
GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME	GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME	Details ...	18	-0.6905418	-1.999923	0.0	0.01648918	0.252	673	tags=33%, list=4%, signal=35%	
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	93	-0.48164552	-1.9869381	0.0	0.018921034	0.296	2546	tags=30%, list=15%, signal=35%	
GOBP_POSITIVE_CHEMOTAXIS	GOBP_POSITIVE_CHEMOTAXIS	Details ...	51	-0.5416244	-1.9755734	0.0	0.020304963	0.324	1897	tags=37%, list=11%, signal=42%	
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE		43	-0.5537305	-1.9734546	0.0	0.019747168	0.328	4024	tags=56%, list=24%, signal=73%	
GOBP_KINETOCHORE_ORGANIZATION	GOBP_KINETOCHORE_ORGANIZATION		23	-0.65150654	-1.9723276	0.0	0.019044194	0.331	3018	tags=48%, list=18%, signal=58%	
