NAME	TITLE	SCORE	
SYT9	synaptotagmin 9 [Source:HGNC Symbol;Acc:HGNC:19265]	3.9252331	
KRT83	keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]	3.7479446	
NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	3.3009157	
TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	3.2581046	
NLGN3	neuroligin 3 [Source:HGNC Symbol;Acc:HGNC:14289]	3.1910543	
ART5	ADP-ribosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24049]	3.1698282	
APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	3.1556723	
OLFML1	olfactomedin like 1 [Source:HGNC Symbol;Acc:HGNC:24473]	3.1026113	
ALPL	alkaline phosphatase, biomineralization associated [Source:HGNC Symbol;Acc:HGNC:438]	3.025617	
FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	2.973708	
PNCK	pregnancy up-regulated nonubiquitous CaM kinase [Source:HGNC Symbol;Acc:HGNC:13415]	2.9239864	
CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	2.9237158	
APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	2.8982003	
FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	2.8519511	
GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	2.8350363	
PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	2.8305988	
SPTLC3	serine palmitoyltransferase long chain base subunit 3 [Source:HGNC Symbol;Acc:HGNC:16253]	2.825739	
NRTN	neurturin [Source:HGNC Symbol;Acc:HGNC:8007]	2.8213854	
SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	2.8100762	
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	2.7765682	
TMEM140	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	2.7717588	
