NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCDHB14	protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685]	39	2.8731863498687744	0.08544616	Yes	
row_1	PCDHB6	protocadherin beta 6 [Source:HGNC Symbol;Acc:HGNC:8691]	90	2.51017165184021	0.15916283	Yes	
row_2	PCDHB13	protocadherin beta 13 [Source:HGNC Symbol;Acc:HGNC:8684]	157	2.2153332233428955	0.22293867	Yes	
row_3	PCDHB10	protocadherin beta 10 [Source:HGNC Symbol;Acc:HGNC:8681]	247	1.999382734298706	0.27877215	Yes	
row_4	PCDHB5	protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]	373	1.7887446880340576	0.32606336	Yes	
row_5	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	461	1.6688849925994873	0.37192234	Yes	
row_6	PCDHB16	protocadherin beta 16 [Source:HGNC Symbol;Acc:HGNC:14546]	561	1.5440502166748047	0.41326606	Yes	
row_7	ARVCF	ARVCF delta catenin family member [Source:HGNC Symbol;Acc:HGNC:728]	788	1.3349872827529907	0.44078085	Yes	
row_8	PCDHB11	protocadherin beta 11 [Source:HGNC Symbol;Acc:HGNC:8682]	792	1.3341786861419678	0.481344	Yes	
row_9	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	882	1.277797818183899	0.51514393	Yes	
row_10	PCDHB2	protocadherin beta 2 [Source:HGNC Symbol;Acc:HGNC:8687]	930	1.2531460523605347	0.55065334	Yes	
row_11	PCDHGB4	protocadherin gamma subfamily B, 4 [Source:HGNC Symbol;Acc:HGNC:8711]	1107	1.1536610126495361	0.57556254	Yes	
row_12	PCDHB9	protocadherin beta 9 [Source:HGNC Symbol;Acc:HGNC:8694]	1110	1.1521272659301758	0.6106254	Yes	
row_13	CDH23	cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]	1323	1.054800271987915	0.6304054	Yes	
row_14	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	1332	1.0499311685562134	0.661996	Yes	
row_15	PCDHB3	protocadherin beta 3 [Source:HGNC Symbol;Acc:HGNC:8688]	1980	0.863528311252594	0.6504343	No	
row_16	PCDHB4	protocadherin beta 4 [Source:HGNC Symbol;Acc:HGNC:8689]	2753	0.6984573006629944	0.6265043	No	
row_17	CDHR3	cadherin related family member 3 [Source:HGNC Symbol;Acc:HGNC:26308]	2795	0.6901732683181763	0.6451751	No	
row_18	PCDH12	protocadherin 12 [Source:HGNC Symbol;Acc:HGNC:8657]	2923	0.6651390194892883	0.65803987	No	
row_19	CDH17	cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]	4395	0.44875890016555786	0.5855075	No	
row_20	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	4846	0.4046371877193451	0.5714825	No	
row_21	FXYD5	FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]	5423	0.3381454050540924	0.54804057	No	
row_22	KIFAP3	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	6113	0.25937366485595703	0.5155689	No	
row_23	CDH8	cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]	7345	0.12634794414043427	0.44726136	No	
row_24	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	8609	0.008591671474277973	0.37348223	No	
row_25	CDH16	cadherin 16 [Source:HGNC Symbol;Acc:HGNC:1755]	8746	0.0	0.36550942	No	
row_26	PCDHGC3	protocadherin gamma subfamily C, 3 [Source:HGNC Symbol;Acc:HGNC:8716]	11041	-0.22468963265419006	0.23788793	No	
row_27	NLGN1	neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]	11959	-0.32722049951553345	0.19412182	No	
row_28	AJUBA	ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]	13487	-0.5147593021392822	0.12032183	No	
row_29	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	14009	-0.6027042865753174	0.108182505	No	
row_30	CDH24	cadherin 24 [Source:HGNC Symbol;Acc:HGNC:14265]	14588	-0.7247108221054077	0.09642708	No	
row_31	DCHS1	dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]	14904	-0.8027777671813965	0.10247342	No	
row_32	CDH18	cadherin 18 [Source:HGNC Symbol;Acc:HGNC:1757]	15074	-0.8390042185783386	0.11818496	No	
