NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TENM1	teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]	3	4.217832565307617	0.022188352	Yes	
row_1	CDHR2	cadherin related family member 2 [Source:HGNC Symbol;Acc:HGNC:18231]	5	3.9278345108032227	0.04295755	Yes	
row_2	PCDHB14	protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685]	39	2.8731863498687744	0.05623573	Yes	
row_3	VSTM2L	V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]	50	2.768179416656494	0.070321575	Yes	
row_4	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	61	2.6806225776672363	0.08394312	Yes	
row_5	PCDHB6	protocadherin beta 6 [Source:HGNC Symbol;Acc:HGNC:8691]	90	2.51017165184021	0.09559294	Yes	
row_6	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	108	2.3994617462158203	0.10730826	Yes	
row_7	PCDHGA1	protocadherin gamma subfamily A, 1 [Source:HGNC Symbol;Acc:HGNC:8696]	154	2.226558208465576	0.116445586	Yes	
row_8	PCDHGA4	protocadherin gamma subfamily A, 4 [Source:HGNC Symbol;Acc:HGNC:8702]	155	2.2241742610931396	0.12823994	Yes	
row_9	PCDHB13	protocadherin beta 13 [Source:HGNC Symbol;Acc:HGNC:8684]	157	2.2153332233428955	0.13992809	Yes	
row_10	MMP24	matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]	193	2.1218199729919434	0.14910327	Yes	
row_11	PCDHB7	protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]	201	2.110779047012329	0.15988103	Yes	
row_12	PCDHA6	protocadherin alpha 6 [Source:HGNC Symbol;Acc:HGNC:8672]	237	2.0155715942382812	0.1684928	Yes	
row_13	PCDHB10	protocadherin beta 10 [Source:HGNC Symbol;Acc:HGNC:8681]	247	1.999382734298706	0.1785612	Yes	
row_14	PCDHB8	protocadherin beta 8 [Source:HGNC Symbol;Acc:HGNC:8693]	248	1.9992543458938599	0.18916284	Yes	
row_15	CEACAM19	CEA cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951]	355	1.8111224174499512	0.1924783	Yes	
row_16	PCDHGB1	protocadherin gamma subfamily B, 1 [Source:HGNC Symbol;Acc:HGNC:8708]	364	1.797119379043579	0.20153345	Yes	
row_17	PCDHB5	protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]	373	1.7887446880340576	0.21054421	Yes	
row_18	PCDHB15	protocadherin beta 15 [Source:HGNC Symbol;Acc:HGNC:8686]	381	1.780475378036499	0.21957043	Yes	
row_19	AMIGO1	adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824]	432	1.698486089706421	0.22561087	Yes	
row_20	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]	444	1.685961127281189	0.2338986	Yes	
row_21	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	461	1.6688849925994873	0.24179915	Yes	
row_22	PTPRT	protein tyrosine phosphatase receptor type T [Source:HGNC Symbol;Acc:HGNC:9682]	484	1.6295112371444702	0.24913494	Yes	
row_23	CD177	CD177 molecule [Source:HGNC Symbol;Acc:HGNC:30072]	514	1.5922077894210815	0.25585765	Yes	
row_24	PCDHB16	protocadherin beta 16 [Source:HGNC Symbol;Acc:HGNC:14546]	561	1.5440502166748047	0.26131645	Yes	
row_25	PCDHGA3	protocadherin gamma subfamily A, 3 [Source:HGNC Symbol;Acc:HGNC:8701]	571	1.5336236953735352	0.26891503	Yes	
row_26	SDK2	sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308]	578	1.5279146432876587	0.27666128	Yes	
row_27	PCDHB12	protocadherin beta 12 [Source:HGNC Symbol;Acc:HGNC:8683]	642	1.4689576625823975	0.28071335	Yes	
row_28	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	666	1.4467542171478271	0.28702068	Yes	
row_29	CEACAM1	CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]	677	1.4319658279418945	0.29402086	Yes	
row_30	PCDHGA2	protocadherin gamma subfamily A, 2 [Source:HGNC Symbol;Acc:HGNC:8700]	706	1.403854489326477	0.2998041	Yes	
row_31	ARVCF	ARVCF delta catenin family member [Source:HGNC Symbol;Acc:HGNC:728]	788	1.3349872827529907	0.30207786	Yes	
row_32	PCDHB11	protocadherin beta 11 [Source:HGNC Symbol;Acc:HGNC:8682]	792	1.3341786861419678	0.30897477	Yes	
row_33	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	803	1.32732093334198	0.31542003	Yes	
row_34	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	825	1.312265157699585	0.32113284	Yes	
row_35	PCDHA4	protocadherin alpha 4 [Source:HGNC Symbol;Acc:HGNC:8670]	859	1.292250394821167	0.32602763	Yes	
row_36	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	882	1.277797818183899	0.33149838	Yes	
row_37	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	898	1.2683448791503906	0.33733428	Yes	
row_38	PCDHB2	protocadherin beta 2 [Source:HGNC Symbol;Acc:HGNC:8687]	930	1.2531460523605347	0.34214035	Yes	
row_39	L1CAM	L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]	960	1.2367031574249268	0.3469779	Yes	
row_40	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	968	1.2322250604629517	0.35309684	Yes	
row_41	PCDHGB4	protocadherin gamma subfamily B, 4 [Source:HGNC Symbol;Acc:HGNC:8711]	1107	1.1536610126495361	0.3510275	Yes	
row_42	PCDHB9	protocadherin beta 9 [Source:HGNC Symbol;Acc:HGNC:8694]	1110	1.1521272659301758	0.35701832	Yes	
row_43	PCDHGB3	protocadherin gamma subfamily B, 3 [Source:HGNC Symbol;Acc:HGNC:8710]	1123	1.142620325088501	0.3623655	Yes	
row_44	DSG3	desmoglein 3 [Source:HGNC Symbol;Acc:HGNC:3050]	1136	1.1355321407318115	0.3676751	Yes	
row_45	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	1265	1.0758769512176514	0.36578652	Yes	
row_46	CDH23	cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]	1323	1.054800271987915	0.36799833	Yes	
row_47	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	1332	1.0499311685562134	0.3730913	Yes	
row_48	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1353	1.0405560731887817	0.37742263	Yes	
row_49	PSG5	pregnancy specific beta-1-glycoprotein 5 [Source:HGNC Symbol;Acc:HGNC:9522]	1378	1.030573844909668	0.38146374	Yes	
row_50	PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	1396	1.0221115350723267	0.38587525	Yes	
row_51	PCDHA7	protocadherin alpha 7 [Source:HGNC Symbol;Acc:HGNC:8673]	1413	1.0162742137908936	0.39031515	Yes	
row_52	CLDN15	claudin 15 [Source:HGNC Symbol;Acc:HGNC:2036]	1525	0.9859601855278015	0.3889583	Yes	
row_53	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	1527	0.9856361150741577	0.3941256	Yes	
row_54	PCDHA9	protocadherin alpha 9 [Source:HGNC Symbol;Acc:HGNC:8675]	1545	0.9806810617446899	0.39831743	Yes	
