NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZCWPW1	zinc finger CW-type and PWWP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23486]	347	1.8302775621414185	-0.015716523	No	
row_1	MLH3	mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128]	516	1.5895928144454956	-0.021395406	No	
row_2	STAG3L1	stromal antigen 3-like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33852]	714	1.3952118158340454	-0.029340867	No	
row_3	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	841	1.2994931936264038	-0.033305608	No	
row_4	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	894	1.2695120573043823	-0.032929953	No	
row_5	BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	999	1.2151447534561157	-0.035811298	No	
row_6	UBE2B	ubiquitin conjugating enzyme E2 B [Source:HGNC Symbol;Acc:HGNC:12473]	1067	1.174880027770996	-0.036591794	No	
row_7	NEK11	NIMA related kinase 11 [Source:HGNC Symbol;Acc:HGNC:18593]	1257	1.0791571140289307	-0.044926364	No	
row_8	NEK6	NIMA related kinase 6 [Source:HGNC Symbol;Acc:HGNC:7749]	1468	0.9997534155845642	-0.0547339	No	
row_9	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	1654	0.9459672570228577	-0.06319487	No	
row_10	STAG3L4	stromal antigen 3-like 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33887]	1785	0.9097264409065247	-0.068468176	No	
row_11	SYCE3	synaptonemal complex central element protein 3 [Source:HGNC Symbol;Acc:HGNC:35245]	2021	0.8565674424171448	-0.08016275	No	
row_12	SYCE1	synaptonemal complex central element protein 1 [Source:HGNC Symbol;Acc:HGNC:28852]	2382	0.777734100818634	-0.09954435	No	
row_13	SETDB2	SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263]	2393	0.7755659222602844	-0.09801389	No	
row_14	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]	2416	0.7694852352142334	-0.097217314	No	
row_15	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	2459	0.7617172002792358	-0.09763736	No	
row_16	MEIOC	meiosis specific with coiled-coil domain [Source:HGNC Symbol;Acc:HGNC:26670]	2507	0.7531822323799133	-0.09837966	No	
row_17	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	2531	0.7482810616493225	-0.09770103	No	
row_18	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	2799	0.6888434886932373	-0.11176832	No	
row_19	ANKRD31	ankyrin repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:26853]	2817	0.6847441792488098	-0.11090544	No	
row_20	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	3138	0.6237238049507141	-0.12831901	No	
row_21	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	3254	0.6045010685920715	-0.13353334	No	
row_22	UVRAG	UV radiation resistance associated [Source:HGNC Symbol;Acc:HGNC:12640]	3298	0.5971826314926147	-0.13446464	No	
row_23	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	3434	0.5738898515701294	-0.14095828	No	
row_24	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	3487	0.5641413331031799	-0.14251813	No	
row_25	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	3497	0.5622162818908691	-0.14151333	No	
row_26	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]	3552	0.5539629459381104	-0.14322063	No	
row_27	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3436]	3824	0.5191411375999451	-0.15799265	No	
row_28	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	4087	0.4872601628303528	-0.17231426	No	
row_29	RNF212B	ring finger protein 212B [Source:HGNC Symbol;Acc:HGNC:20438]	4146	0.4791479706764221	-0.17446591	No	
row_30	SYCE1L	synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236]	4254	0.4669463634490967	-0.17957956	No	
row_31	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	4284	0.46298617124557495	-0.18004236	No	
row_32	TERB1	telomere repeat binding bouquet formation protein 1 [Source:HGNC Symbol;Acc:HGNC:26675]	4342	0.4552130401134491	-0.18219993	No	
row_33	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]	4384	0.4498533010482788	-0.18341595	No	
row_34	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	4566	0.43215835094451904	-0.19304772	No	
row_35	EME2	essential meiotic structure-specific endonuclease subunit 2 [Source:HGNC Symbol;Acc:HGNC:27289]	4647	0.42567136883735657	-0.19666097	No	
row_36	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	4702	0.42056140303611755	-0.19873431	No	
row_37	USP44	ubiquitin specific peptidase 44 [Source:HGNC Symbol;Acc:HGNC:20064]	4780	0.4123798608779907	-0.20220472	No	
row_38	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4981	0.38886672258377075	-0.21309084	No	
row_39	ABRAXAS1	abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]	5123	0.37280815839767456	-0.22049484	No	
row_40	ARL8B	ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]	5239	0.36026880145072937	-0.22637933	No	
row_41	SPATA22	spermatogenesis associated 22 [Source:HGNC Symbol;Acc:HGNC:30705]	5505	0.3268613815307617	-0.24132037	No	
row_42	SHOC1	shortage in chiasmata 1 [Source:HGNC Symbol;Acc:HGNC:26535]	5703	0.3045634329319	-0.2522585	No	
row_43	CCNB1IP1	cyclin B1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19437]	5936	0.27922889590263367	-0.26535797	No	
row_44	NDEL1	nudE neurodevelopment protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:17620]	6271	0.24230274558067322	-0.28465486	No	
row_45	CHMP4B	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]	6351	0.23279432952404022	-0.28873757	No	
row_46	CIAO1	cytosolic iron-sulfur assembly component 1 [Source:HGNC Symbol;Acc:HGNC:14280]	6366	0.23095697164535522	-0.28894055	No	
row_47	MAP1S	microtubule associated protein 1S [Source:HGNC Symbol;Acc:HGNC:15715]	6494	0.21590495109558105	-0.29593837	No	
row_48	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	6576	0.2078935205936432	-0.30020896	No	
row_49	RNF212	ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]	6828	0.17970417439937592	-0.31471705	No	
row_50	MSH4	mutS homolog 4 [Source:HGNC Symbol;Acc:HGNC:7327]	6868	0.17596210539340973	-0.31656507	No	
row_51	P3H4	prolyl 3-hydroxylase family member 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:16946]	6923	0.17147678136825562	-0.3193219	No	
row_52	PIBF1	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]	6932	0.17066103219985962	-0.31933174	No	
row_53	NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]	7002	0.16292962431907654	-0.3230085	No	
row_54	CHMP4BP1	charged multivesicular body protein 4B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43616]	7034	0.15934626758098602	-0.324424	No	
row_55	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	7057	0.1568286269903183	-0.32530853	No	
row_56	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	7066	0.15631203353405	-0.32535774	No	
row_57	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	7133	0.14823752641677856	-0.3288955	No	
row_58	INO80	INO80 complex ATPase subunit [Source:HGNC Symbol;Acc:HGNC:26956]	7135	0.1478014439344406	-0.3285497	No	
row_59	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	7203	0.1413426250219345	-0.3321662	No	
row_60	BCL7A	BAF chromatin remodeling complex subunit BCL7A [Source:HGNC Symbol;Acc:HGNC:1004]	7244	0.136664018034935	-0.33418182	No	
row_61	RAB11A	RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9760]	7312	0.12976332008838654	-0.33783007	No	
row_62	TUBG2	tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]	7367	0.12352599203586578	-0.34071845	No	
row_63	PUM2	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]	7527	0.10777847468852997	-0.34992546	No	
row_64	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]	7557	0.10402239114046097	-0.35137326	No	
row_65	USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	7630	0.09639906138181686	-0.35541186	No	
row_66	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	7721	0.08903196454048157	-0.36054647	No	
row_67	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	7756	0.08432528376579285	-0.36234713	No	
row_68	MAU2	MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]	7791	0.08128493279218674	-0.36415613	No	
row_69	TTL	tubulin tyrosine ligase [Source:HGNC Symbol;Acc:HGNC:21586]	7869	0.07579844444990158	-0.3685501	No	
row_70	PDCD6IP	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]	7885	0.07481411099433899	-0.3692413	No	
row_71	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	7947	0.06955059617757797	-0.37269616	No	
row_72	CSNK2A1	casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]	8123	0.052909109741449356	-0.38300997	No	
row_73	SYCP2	synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490]	8124	0.05272035673260689	-0.3828653	No	
row_74	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	8200	0.04625818878412247	-0.38722083	No	
row_75	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	8263	0.040876537561416626	-0.39081413	No	
row_76	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]	8301	0.036365557461977005	-0.39292568	No	
row_77	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	8305	0.0358244888484478	-0.39300668	No	
row_78	HORMAD1	HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]	8314	0.035225868225097656	-0.39338815	No	
row_79	AGO4	argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]	8318	0.03462643548846245	-0.39347243	No	
row_80	LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	8388	0.02934846468269825	-0.39751574	No	
row_81	ABRAXAS2	abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]	8409	0.027697324752807617	-0.39863506	No	
