NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	36	2.9491143226623535	0.060254168	Yes	
row_1	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	67	2.644937038421631	0.11442789	Yes	
row_2	LOXL4	lysyl oxidase like 4 [Source:HGNC Symbol;Acc:HGNC:17171]	123	2.337620735168457	0.16063447	Yes	
row_3	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]	137	2.2965445518493652	0.2084386	Yes	
row_4	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	177	2.158323287963867	0.2517929	Yes	
row_5	COL14A1	collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]	345	1.8334481716156006	0.2807606	Yes	
row_6	TLL2	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]	519	1.5839061737060547	0.30409858	Yes	
row_7	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	560	1.5440962314605713	0.33440444	Yes	
row_8	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	599	1.5066570043563843	0.364036	Yes	
row_9	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	720	1.3826595544815063	0.38623017	Yes	
row_10	DDR2	discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]	794	1.33388090133667	0.41015264	Yes	
row_11	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	984	1.2237385511398315	0.4249343	Yes	
row_12	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	1135	1.1359320878982544	0.44014907	Yes	
row_13	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	1274	1.0716115236282349	0.45470825	Yes	
row_14	FKBP10	FKBP prolyl isomerase 10 [Source:HGNC Symbol;Acc:HGNC:18169]	1333	1.049588680267334	0.47349927	Yes	
row_15	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	1406	1.0190892219543457	0.4908232	Yes	
row_16	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	1466	1.0002790689468384	0.50851274	Yes	
row_17	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	1606	0.962958812713623	0.52071536	Yes	
row_18	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	1678	0.9368981122970581	0.53635985	Yes	
row_19	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	1874	0.8854877352714539	0.54363585	Yes	
row_20	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]	2076	0.8440898060798645	0.549684	Yes	
row_21	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	2333	0.7876120805740356	0.55130816	Yes	
row_22	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	2476	0.759227454662323	0.5590261	Yes	
row_23	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	2518	0.7511788010597229	0.5725046	Yes	
row_24	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	3141	0.6232358813285828	0.5491611	No	
row_25	SCX	scleraxis bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:32322]	3351	0.5889965295791626	0.5493447	No	
row_26	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	3406	0.5793020129203796	0.558425	No	
row_27	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	4604	0.4274195432662964	0.49717635	No	
row_28	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	4897	0.3988083600997925	0.48846418	No	
row_29	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	5463	0.33355608582496643	0.4623415	No	
row_30	ATP7A	ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]	5580	0.3187061846256256	0.46227002	No	
row_31	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	6246	0.24537494778633118	0.42841047	No	
