NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]	137	2.2965445518493652	0.0296568	Yes	
row_1	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	172	2.1718742847442627	0.06332433	Yes	
row_2	P3H2	prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]	190	2.133403778076172	0.09735997	Yes	
row_3	MMP24	matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]	193	2.1218199729919434	0.13208762	Yes	
row_4	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	397	1.7624104022979736	0.14909078	Yes	
row_5	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	436	1.695634126663208	0.17470206	Yes	
row_6	CCN2	cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]	442	1.6897298097610474	0.20215732	Yes	
row_7	CST3	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	491	1.6200957298278809	0.22593991	Yes	
row_8	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	598	1.5068638324737549	0.24445161	Yes	
row_9	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	656	1.4537417888641357	0.26497293	Yes	
row_10	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	710	1.3971467018127441	0.28480008	Yes	
row_11	DDR2	discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]	794	1.33388090133667	0.3018238	Yes	
row_12	VSIR	V-set immunoregulatory receptor [Source:HGNC Symbol;Acc:HGNC:30085]	863	1.2899162769317627	0.31900772	Yes	
row_13	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	965	1.2349261045455933	0.33334765	Yes	
row_14	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	984	1.2237385511398315	0.3523856	Yes	
row_15	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	1292	1.0663328170776367	0.35184062	Yes	
row_16	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	1327	1.0516834259033203	0.36711198	Yes	
row_17	CYGB	cytoglobin [Source:HGNC Symbol;Acc:HGNC:16505]	1374	1.0317212343215942	0.3813497	Yes	
row_18	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	1406	1.0190892219543457	0.39626223	Yes	
row_19	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	1466	1.0002790689468384	0.409219	Yes	
row_20	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1565	0.9729731678962708	0.41943347	Yes	
row_21	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	1606	0.962958812713623	0.4328949	Yes	
row_22	NPPC	natriuretic peptide C [Source:HGNC Symbol;Acc:HGNC:7941]	1635	0.951206624507904	0.44686908	Yes	
row_23	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	1658	0.9445018768310547	0.46108603	Yes	
row_24	LARP6	La ribonucleoprotein 6, translational regulator [Source:HGNC Symbol;Acc:HGNC:24012]	1781	0.9107689261436462	0.4688674	Yes	
row_25	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	1789	0.907066285610199	0.48335186	Yes	
row_26	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	1858	0.8886424899101257	0.49394593	Yes	
row_27	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	1874	0.8854877352714539	0.5076055	Yes	
row_28	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	2255	0.803202211856842	0.49844563	No	
row_29	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	2476	0.759227454662323	0.49797428	No	
row_30	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	2726	0.7052097916603088	0.49491015	No	
row_31	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	3141	0.6232358813285828	0.4807951	No	
row_32	MMP28	matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:HGNC:14366]	3219	0.6113163828849792	0.48630545	No	
row_33	SCX	scleraxis bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:32322]	3351	0.5889965295791626	0.48827317	No	
row_34	ADAM15	ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]	3597	0.5476751327514648	0.48285723	No	
row_35	MMP27	matrix metallopeptidase 27 [Source:HGNC Symbol;Acc:HGNC:14250]	3667	0.5388407707214355	0.48764792	No	
row_36	MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	3861	0.5140777826309204	0.48473868	No	
row_37	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	4358	0.45355281233787537	0.46301407	No	
row_38	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	5055	0.3817214071750641	0.42834646	No	
row_39	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	5062	0.3815516233444214	0.43425953	No	
row_40	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	5121	0.37284550070762634	0.4369712	No	
row_41	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	5225	0.36201968789100647	0.43685827	No	
row_42	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	5373	0.3449406921863556	0.43387696	No	
row_43	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	5656	0.3088608682155609	0.42236292	No	
row_44	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	6619	0.20330223441123962	0.36912003	No	
