NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	61	2.6806225776672363	0.015175472	Yes	
row_1	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	67	2.644937038421631	0.03341371	Yes	
row_2	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	106	2.4165186882019043	0.048099134	Yes	
row_3	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]	116	2.356665849685669	0.06408072	Yes	
row_4	PCSK5	proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747]	121	2.340489149093628	0.08024474	Yes	
row_5	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	124	2.336484432220459	0.09649901	Yes	
row_6	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	129	2.3276379108428955	0.112572975	Yes	
row_7	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	139	2.2804436683654785	0.12802045	Yes	
row_8	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	148	2.2573437690734863	0.1433652	Yes	
row_9	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	207	2.0921738147735596	0.15459467	Yes	
row_10	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	212	2.0728726387023926	0.16888341	Yes	
row_11	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	223	2.0457212924957275	0.18262693	Yes	
row_12	RDH5	retinol dehydrogenase 5 [Source:HGNC Symbol;Acc:HGNC:9940]	245	2.0044467449188232	0.1954305	Yes	
row_13	CORIN	corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]	251	1.9976750612258911	0.20913315	Yes	
row_14	RDH10	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	252	1.9968845844268799	0.22312604	Yes	
row_15	DIO3	iodothyronine deiodinase 3 [Source:HGNC Symbol;Acc:HGNC:2885]	268	1.9625433683395386	0.23599091	Yes	
row_16	DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	274	1.948580026626587	0.24934953	Yes	
row_17	ATP6AP2	ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	279	1.939095139503479	0.26270083	Yes	
row_18	PCSK6	proprotein convertase subtilisin/kexin type 6 [Source:HGNC Symbol;Acc:HGNC:8569]	286	1.922369360923767	0.27581662	Yes	
row_19	CYP11A1	cytochrome P450 family 11 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2590]	290	1.9208984375	0.28909957	Yes	
row_20	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	319	1.8714770078659058	0.3005573	Yes	
row_21	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	403	1.7577292919158936	0.30796424	Yes	
