NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	172	2.1718742847442627	-0.003570536	No	
row_1	EPGN	epithelial mitogen [Source:HGNC Symbol;Acc:HGNC:17470]	236	2.0181994438171387	-0.0011165058	No	
row_2	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	262	1.9772017002105713	0.003476527	No	
row_3	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	767	1.3460097312927246	-0.022425123	No	
row_4	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	876	1.2835134267807007	-0.024913905	No	
row_5	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	894	1.2695120573043823	-0.02202135	No	
row_6	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1208	1.1011887788772583	-0.037290927	No	
row_7	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	1327	1.0516834259033203	-0.041089073	No	
row_8	NEK6	NIMA related kinase 6 [Source:HGNC Symbol;Acc:HGNC:7749]	1468	0.9997534155845642	-0.046358384	No	
row_9	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	1833	0.893961489200592	-0.0653056	No	
row_10	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	1877	0.8850409984588623	-0.065145776	No	
row_11	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	2459	0.7617172002792358	-0.09743501	No	
row_12	DMRT1	doublesex and mab-3 related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2934]	2463	0.7610777020454407	-0.09527223	No	
row_13	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	2531	0.7482810616493225	-0.09696379	No	
row_14	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	2799	0.6888434886932373	-0.110760026	No	
row_15	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	3079	0.6334280967712402	-0.12544206	No	
row_16	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	3138	0.6237238049507141	-0.12698036	No	
row_17	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	3254	0.6045010685920715	-0.13197553	No	
