NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AB1	H2A.B variant histone 1 [Source:HGNC Symbol;Acc:HGNC:22516]	74	2.5926871299743652	0.007663977	No	
row_1	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	318	1.8746891021728516	0.0020530038	No	
row_2	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	322	1.8653234243392944	0.010523738	No	
row_3	NAP1L3	nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639]	988	1.2224098443984985	-0.02294776	No	
row_4	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	1103	1.157631516456604	-0.024290627	No	
row_5	H2BC12L	H2B clustered histone 12 like [Source:HGNC Symbol;Acc:HGNC:4762]	2462	0.7611047625541687	-0.100686945	No	
row_6	KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]	3469	0.5683247447013855	-0.15726012	No	
row_7	TSPYL1	TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]	4149	0.4788072109222412	-0.19500278	No	
row_8	H1-9P	H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:HGNC:30616]	4232	0.46907106041908264	-0.19765434	No	
row_9	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4981	0.38886672258377075	-0.23987493	No	
row_10	SMYD3	SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513]	6474	0.21810922026634216	-0.326675	No	
row_11	SHPRH	SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]	6976	0.16547828912734985	-0.35539407	No	
row_12	NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]	7002	0.16292962431907654	-0.35611013	No	
row_13	H2BC19P	H2B clustered histone 19, pseudogene [Source:HGNC Symbol;Acc:HGNC:20517]	7018	0.16124321520328522	-0.35624546	No	
row_14	ASF1A	anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]	7456	0.11399012058973312	-0.38143653	No	
row_15	NAP1L5	nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]	8038	0.060297612100839615	-0.41535157	No	
row_16	H1-6	H1.6 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4720]	8129	0.052367545664310455	-0.42040572	No	
row_17	TSPY26P	testis specific protein Y-linked 26, pseudogene [Source:HGNC Symbol;Acc:HGNC:16256]	8153	0.05087342485785484	-0.42152354	No	
row_18	TSPYL5	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	8960	-0.008281909860670567	-0.46892202	No	
row_19	SPTY2D1	SPT2 chromatin protein domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26818]	9051	-0.018005764111876488	-0.47413546	No	
row_20	RSF1	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]	9271	-0.0411309115588665	-0.48683396	No	
row_21	TSPYL4	TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]	9635	-0.07785742729902267	-0.5078373	No	
row_22	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	10953	-0.2159229815006256	-0.5843479	No	
row_23	NAP1L4	nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640]	11196	-0.24062871932983398	-0.59747523	No	
row_24	SART3	spliceosome associated factor 3, U4/U6 recycling protein [Source:HGNC Symbol;Acc:HGNC:16860]	11468	-0.27056261897087097	-0.6121706	No	
row_25	H4C15	H4 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:29607]	11642	-0.29274532198905945	-0.62099534	No	
row_26	HP1BP3	heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	11693	-0.29893970489501953	-0.6225523	No	
row_27	H3-3A	H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764]	11763	-0.30540773272514343	-0.6251974	No	
row_28	KAT6A	lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]	11819	-0.3111559748649597	-0.6269919	No	
row_29	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	12684	-0.40844064950942993	-0.6759489	No	
row_30	MACROH2A1	macroH2A.1 histone [Source:HGNC Symbol;Acc:HGNC:4740]	12955	-0.4410317540168762	-0.6897952	No	
row_31	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	13341	-0.49332132935523987	-0.7101673	No	
row_32	DAXX	death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]	14166	-0.631706953048706	-0.75573504	No	
