NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AB1	H2A.B variant histone 1 [Source:HGNC Symbol;Acc:HGNC:22516]	74	2.5926871299743652	0.0066564633	No	
row_1	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	318	1.8746891021728516	2.9462724E-4	No	
row_2	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	322	1.8653234243392944	0.008046429	No	
row_3	NAP1L3	nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639]	988	1.2224098443984985	-0.025974454	No	
row_4	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	1103	1.157631516456604	-0.027776727	No	
row_5	H2BC12L	H2B clustered histone 12 like [Source:HGNC Symbol;Acc:HGNC:4762]	2462	0.7611047625541687	-0.10462651	No	
row_6	APLF	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]	3080	0.6334058046340942	-0.13832031	No	
row_7	KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]	3469	0.5683247447013855	-0.158786	No	
row_8	TSPYL1	TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]	4149	0.4788072109222412	-0.19679326	No	
row_9	H1-9P	H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:HGNC:30616]	4232	0.46907106041908264	-0.19963518	No	
row_10	ACTR6	actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]	4431	0.44553422927856445	-0.209418	No	
row_11	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4981	0.38886672258377075	-0.2401411	No	
row_12	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	5095	0.37663036584854126	-0.2452041	No	
