NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	61	2.6806225776672363	0.024194779	Yes	
row_1	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	67	2.644937038421631	0.051320132	Yes	
row_2	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]	116	2.356665849685669	0.07292265	Yes	
row_3	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	129	2.3276379108428955	0.096346	Yes	
row_4	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	148	2.2573437690734863	0.11868698	Yes	
row_5	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	207	2.0921738147735596	0.13695814	Yes	
row_6	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	212	2.0728726387023926	0.15821183	Yes	
row_7	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	223	2.0457212924957275	0.17883043	Yes	
row_8	RDH5	retinol dehydrogenase 5 [Source:HGNC Symbol;Acc:HGNC:9940]	245	2.0044467449188232	0.19837283	Yes	
row_9	RDH10	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	252	1.9968845844268799	0.21872088	Yes	
row_10	DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	274	1.948580026626587	0.2376841	Yes	
row_11	CYP11A1	cytochrome P450 family 11 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2590]	290	1.9208984375	0.25671396	Yes	
row_12	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	403	1.7577292919158936	0.26833528	Yes	
row_13	DKKL1	dickkopf like acrosomal protein 1 [Source:HGNC Symbol;Acc:HGNC:16528]	554	1.5482624769210815	0.27554542	Yes	
row_14	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	685	1.4235178232192993	0.28264108	Yes	
row_15	CYP2G1P	cytochrome P450 family 2 subfamily G member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:2633]	704	1.405025839805603	0.2961461	Yes	
row_16	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	744	1.3628332614898682	0.307976	Yes	
row_17	FAAH2	fatty acid amide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:26440]	837	1.3011921644210815	0.31604317	Yes	
row_18	CYP46A1	cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641]	855	1.2936784029006958	0.32845277	Yes	
row_19	ELOVL3	ELOVL fatty acid elongase 3 [Source:HGNC Symbol;Acc:HGNC:18047]	860	1.291712760925293	0.3416082	Yes	
