NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT2B	Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]	284	1.9286022186279297	0.03951367	Yes	
row_1	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	298	1.9128626585006714	0.094467975	Yes	
row_2	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	318	1.8746891021728516	0.14795837	Yes	
row_3	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	380	1.7831600904464722	0.19631869	Yes	
row_4	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	402	1.7580349445343018	0.24629389	Yes	
row_5	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	408	1.7506831884384155	0.29699364	Yes	
row_6	NTN4	netrin 4 [Source:HGNC Symbol;Acc:HGNC:13658]	431	1.699721336364746	0.34521165	Yes	
row_7	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	618	1.4870115518569946	0.37761235	Yes	
row_8	LRRK2	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	678	1.4299962520599365	0.41580322	Yes	
row_9	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	853	1.2940484285354614	0.4432874	Yes	
row_10	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	876	1.2835134267807007	0.4793823	Yes	
row_11	SIX4	SIX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:10890]	1016	1.2041878700256348	0.5063024	Yes	
row_12	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	1327	1.0516834259033203	0.5187482	Yes	
row_13	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	1539	0.9822468757629395	0.5349797	Yes	
row_14	AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	1579	0.969447135925293	0.56092924	Yes	
row_15	FGF10	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]	1619	0.9580222964286804	0.586546	Yes	
row_16	GDNF	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]	1860	0.8885045051574707	0.5983456	Yes	
row_17	SIX2	SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888]	2486	0.7579300999641418	0.5837546	Yes	
row_18	SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	2546	0.7448436617851257	0.6019886	Yes	
row_19	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	3174	0.6184096932411194	0.5832164	No	
row_20	BCL11A	BAF chromatin remodeling complex subunit BCL11A [Source:HGNC Symbol;Acc:HGNC:13221]	4336	0.4556267261505127	0.5283739	No	
row_21	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	5539	0.32383987307548523	0.46728733	No	
