NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3526]	1492	0.9942294359207153	-0.08306553	No	
row_1	STN1	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	2084	0.8428966403007507	-0.1136377	No	
row_2	TERF2IP	TERF2 interacting protein [Source:HGNC Symbol;Acc:HGNC:19246]	2991	0.6483405232429504	-0.16384675	No	
row_3	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	3138	0.6237238049507141	-0.16924241	No	
row_4	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	3434	0.5738898515701294	-0.18370761	No	
row_5	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	3629	0.5425442457199097	-0.19236307	No	
row_6	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3436]	3824	0.5191411375999451	-0.20114002	No	
row_7	NEK7	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]	3991	0.4969102740287781	-0.20837665	No	
row_8	SHLD3	shieldin complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:53826]	4251	0.46713823080062866	-0.2212672	No	
row_9	TNKS2	tankyrase 2 [Source:HGNC Symbol;Acc:HGNC:15677]	4499	0.4371495842933655	-0.23360382	No	
row_10	TEN1	TEN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:37242]	4533	0.43432870507240295	-0.2333006	No	
row_11	PRKCQ	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	4839	0.4052630066871643	-0.24923247	No	
row_12	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4981	0.38886672258377075	-0.25555164	No	
row_13	PML	PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113]	5136	0.3709886372089386	-0.2627323	No	
row_14	LTO1	LTO1 maturation factor of ABCE1 [Source:HGNC Symbol;Acc:HGNC:17589]	5604	0.314787894487381	-0.2887134	No	
row_15	INO80D	INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]	6143	0.2563251554965973	-0.31919643	No	
row_16	NOP10	NOP10 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14378]	6150	0.25582751631736755	-0.3182232	No	
row_17	YLPM1	YLP motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17798]	6232	0.24683034420013428	-0.3217317	No	
row_18	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	6343	0.23375585675239563	-0.3270229	No	
row_19	YY1	YY1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12856]	6376	0.229644775390625	-0.3277231	No	
row_20	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	6817	0.18045346438884735	-0.3528049	No	
row_21	XRN1	5'-3' exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:30654]	6870	0.17569665610790253	-0.35496777	No	
row_22	SMG5	SMG5 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644]	6949	0.16901634633541107	-0.3587028	No	
row_23	INO80	INO80 complex ATPase subunit [Source:HGNC Symbol;Acc:HGNC:26956]	7135	0.1478014439344406	-0.36887518	No	
row_24	DHX36	DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]	7210	0.14076542854309082	-0.37252033	No	
row_25	TERF2	telomeric repeat binding factor 2 [Source:HGNC Symbol;Acc:HGNC:11729]	7468	0.1126653179526329	-0.38713267	No	
row_26	CTC1	CST telomere replication complex component 1 [Source:HGNC Symbol;Acc:HGNC:26169]	7792	0.08120276033878326	-0.40581113	No	
row_27	ZBTB48	zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930]	7801	0.0807991623878479	-0.40586478	No	
row_28	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	7883	0.07514297962188721	-0.4102645	No	
row_29	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	7947	0.06955059617757797	-0.41362885	No	
