NAME	TITLE	SCORE	
CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]	4.437406	
ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	4.4197164	
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]	4.326401	
TENM1	teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]	4.2178326	
SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	4.1779776	
CDHR2	cadherin related family member 2 [Source:HGNC Symbol;Acc:HGNC:18231]	3.9278345	
VWCE	von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:HGNC:26487]	3.8358238	
GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	3.7883604	
PTCHD4	patched domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21345]	3.754495	
SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	3.6730745	
FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]	3.6456387	
FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	3.576056	
RPS10P3	ribosomal protein S10 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23684]	3.5658937	
TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	3.5397356	
TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	3.4807646	
TM4SF20	transmembrane 4 L six family member 20 [Source:HGNC Symbol;Acc:HGNC:26230]	3.465387	
CST4	cystatin S [Source:HGNC Symbol;Acc:HGNC:2476]	3.4177365	
OR1F1	olfactory receptor family 1 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8194]	3.415629	
APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	3.4109259	
NTN5	netrin 5 [Source:HGNC Symbol;Acc:HGNC:25208]	3.3377082	
EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	3.3312886	
IFITM10	interferon induced transmembrane protein 10 [Source:HGNC Symbol;Acc:HGNC:40022]	3.3126848	
CCDC3	coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23813]	3.250426	
SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	3.2103186	
CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	3.1834192	
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	3.155761	
STUM	stum, mechanosensory transduction mediator homolog [Source:HGNC Symbol;Acc:HGNC:30491]	3.149703	
CHODL	chondrolectin [Source:HGNC Symbol;Acc:HGNC:17807]	3.1440704	
SPON2	spondin 2 [Source:HGNC Symbol;Acc:HGNC:11253]	3.13144	
COL8A2	collagen type VIII alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2216]	3.1079373	
CYTL1	cytokine like 1 [Source:HGNC Symbol;Acc:HGNC:24435]	3.0913568	
DMRTA1	DMRT like family A1 [Source:HGNC Symbol;Acc:HGNC:13826]	3.0676904	
CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	3.0100558	
ANKRD24	ankyrin repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:29424]	2.9820676	
GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	2.973583	
ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	2.9619303	
COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	2.9491143	
CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	2.9220047	
POPDC2	popeye domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17648]	2.8795485	
PCDHB14	protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685]	2.8731863	
MAN1C1	mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]	2.8454697	
ACKR4	atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]	2.8424113	
TMEM217	transmembrane protein 217 [Source:HGNC Symbol;Acc:HGNC:21238]	2.832596	
PEBP4	phosphatidylethanolamine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:28319]	2.8268404	
NME5	NME/NM23 family member 5 [Source:HGNC Symbol;Acc:HGNC:7853]	2.8124216	
GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	2.7983642	
TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	2.7937202	
ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	2.7858968	
SLC14A1	solute carrier family 14 member 1 (Kidd blood group) [Source:HGNC Symbol;Acc:HGNC:10918]	2.780831	
CST1	cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]	2.7760234	
VSTM2L	V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]	2.7681794	
CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	2.7647033	
PIK3IP1	phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]	2.756545	
CPZ	carboxypeptidase Z [Source:HGNC Symbol;Acc:HGNC:2333]	2.7475882	
IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	2.736959	
ZPLD1	zona pellucida like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27022]	2.7290523	
MYH1	myosin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:7567]	2.7247345	
RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	2.7136137	
GNA14	G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]	2.7021425	
TLCD2	TLC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33522]	2.7004979	
PPP1R3C	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]	2.6922708	
BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	2.6806226	
NLRP12	NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938]	2.6680331	
COL8A1	collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]	2.660969	
CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	2.6561213	
LYNX1	Ly6/neurotoxin 1 [Source:HGNC Symbol;Acc:HGNC:29604]	2.6529856	
