NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLN	DNA polymerase nu [Source:HGNC Symbol;Acc:HGNC:18870]	1128	1.2349960803985596	-0.06051571	No	
row_1	AICDA	activation induced cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:13203]	2493	0.8192674517631531	-0.13703278	No	
row_2	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	2909	0.7267065644264221	-0.15794751	No	
row_3	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	3032	0.6998609304428101	-0.16168666	No	
row_4	MCM9	minichromosome maintenance 9 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:21484]	3064	0.6925217509269714	-0.16008648	No	
row_5	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	3572	0.5907753705978394	-0.18710954	No	
row_6	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	3634	0.5800849199295044	-0.1878387	No	
row_7	RECQL5	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	4792	0.42800936102867126	-0.2540662	No	
row_8	RPAIN	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	4886	0.414827823638916	-0.25750455	No	
row_9	SETMAR	SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]	4907	0.4122803509235382	-0.25664318	No	
row_10	SRPK2	SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]	5243	0.3652368187904358	-0.2746231	No	
row_11	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	5254	0.3635396361351013	-0.2734125	No	
row_12	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	5537	0.3271510601043701	-0.28845024	No	
row_13	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	6105	0.25735628604888916	-0.32066983	No	
