NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	5	3.9043564796447754	0.03190397	Yes	
row_1	POU3F1	POU class 3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9214]	38	3.0352783203125	0.055046625	Yes	
row_2	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	42	3.013655185699463	0.079723075	Yes	
row_3	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	72	2.7830049991607666	0.10096235	Yes	
row_4	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	120	2.5628511905670166	0.11932332	Yes	
row_5	ABCA12	ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	123	2.545238733291626	0.14019579	Yes	
row_6	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	165	2.386110305786133	0.1574534	Yes	
row_7	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	185	2.3030831813812256	0.17532516	Yes	
row_8	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	203	2.259772777557373	0.19295782	Yes	
row_9	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	211	2.241332769393921	0.21102877	Yes	
row_10	DNASE1L2	deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]	243	2.1389598846435547	0.22683854	Yes	
row_11	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	247	2.128952741622925	0.24421887	Yes	
row_12	PDZD7	PDZ domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26257]	266	2.0667104721069336	0.2602003	Yes	
row_13	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	514	1.7052987813949585	0.25968128	Yes	
row_14	SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	515	1.704291582107544	0.27373654	Yes	
row_15	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	524	1.693371057510376	0.28722942	Yes	
row_16	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	542	1.6671923398971558	0.29997507	Yes	
row_17	BCL11B	BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222]	570	1.644667625427246	0.31194457	Yes	
row_18	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	793	1.4501478672027588	0.3107973	Yes	
row_19	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	803	1.4431520700454712	0.3221676	Yes	
row_20	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	814	1.4332544803619385	0.33339724	Yes	
row_21	KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	847	1.4144797325134277	0.3431732	Yes	
row_22	WHRN	whirlin [Source:HGNC Symbol;Acc:HGNC:16361]	874	1.3946943283081055	0.3531402	Yes	
row_23	EXPH5	exophilin 5 [Source:HGNC Symbol;Acc:HGNC:30578]	982	1.3216632604599	0.3577228	Yes	
row_24	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	1019	1.3001567125320435	0.36631978	Yes	
row_25	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	1174	1.2105200290679932	0.36721092	Yes	
row_26	KRT83	keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]	1263	1.173326015472412	0.3716919	Yes	
row_27	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	1341	1.1444897651672363	0.3765845	Yes	
row_28	KRT81	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	1349	1.1396074295043945	0.38556954	Yes	
row_29	KRT86	keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]	1363	1.1360116004943848	0.39417073	Yes	
row_30	LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	1403	1.120647668838501	0.40111017	Yes	
row_31	MYCL	MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]	1428	1.1126930713653564	0.4088696	Yes	
row_32	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	1462	1.0971872806549072	0.4159698	Yes	
row_33	MSX2	msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]	1658	1.0252693891525269	0.4129126	Yes	
row_34	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	1702	1.0120834112167358	0.41872057	Yes	
row_35	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	1714	1.0048553943634033	0.42635816	Yes	
row_36	ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	1733	1.0003777742385864	0.4335456	Yes	
row_37	INTU	inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239]	1763	0.992341935634613	0.44001728	Yes	
row_38	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	1867	0.9639087915420532	0.44188562	Yes	
row_39	GATA6	GATA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:4174]	2049	0.909308135509491	0.43869865	Yes	
row_40	TMEM79	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	2131	0.8849999904632568	0.44121507	Yes	
row_41	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	2215	0.8702647089958191	0.4434919	Yes	
