NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	5	3.9043564796447754	0.14741041	Yes	
row_1	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	72	2.7830049991607666	0.24882548	Yes	
row_2	ABCA12	ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	123	2.545238733291626	0.34218323	Yes	
row_3	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	165	2.386110305786133	0.43004844	Yes	
row_4	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	524	1.693371057510376	0.4731332	Yes	
row_5	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	814	1.4332544803619385	0.5104205	Yes	
row_6	KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	847	1.4144797325134277	0.5620559	Yes	
row_7	KRT83	keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]	1263	1.173326015472412	0.58212733	Yes	
row_8	KRT81	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	1349	1.1396074295043945	0.62025875	Yes	
row_9	KRT86	keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]	1363	1.1360116004943848	0.66247284	Yes	
row_10	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	1714	1.0048553943634033	0.6799795	Yes	
row_11	TMEM79	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	2131	0.8849999904632568	0.6890849	Yes	
row_12	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	2461	0.8260366916656494	0.7010572	Yes	
row_13	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	3166	0.6687318682670593	0.6851064	No	
row_14	KLK5	kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]	4188	0.49765273928642273	0.6441098	No	
row_15	SHARPIN	SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321]	5033	0.39746612310409546	0.6096939	No	
row_16	CNFN	cornifelin [Source:HGNC Symbol;Acc:HGNC:30183]	5125	0.3831203281879425	0.6188556	No	
row_17	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	8504	0.0	0.42092976	No	
row_18	KAZN	kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]	9217	-0.05659216642379761	0.38135272	No	
row_19	HRNR	hornerin [Source:HGNC Symbol;Acc:HGNC:20846]	9410	-0.07497157156467438	0.37293914	No	
row_20	KRT80	keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]	11075	-0.24966537952423096	0.28488597	No	
row_21	CDSN	corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]	11315	-0.2764538824558258	0.28134072	No	
row_22	PPHLN1	periphilin 1 [Source:HGNC Symbol;Acc:HGNC:19369]	11955	-0.34812575578689575	0.25706977	No	
row_23	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	16013	-1.1563389301300049	0.06310433	No	
