NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	154	2.4357213973999023	0.0048807934	No	
row_1	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	714	1.5101319551467896	-0.019475056	No	
row_2	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	1208	1.194471836090088	-0.041743554	No	
row_3	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	1220	1.1900700330734253	-0.035563774	No	
row_4	ABRAXAS1	abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]	2072	0.9014281034469604	-0.08066239	No	
row_5	TOGARAM2	TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]	2421	0.8340522646903992	-0.09643358	No	
row_6	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	2533	0.8114455938339233	-0.09833403	No	
row_7	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	2698	0.7695740461349487	-0.10360568	No	
row_8	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	3729	0.5642223358154297	-0.16121365	No	
row_9	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	3941	0.5301705002784729	-0.17063566	No	
row_10	MAP4	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]	4062	0.513733446598053	-0.17477629	No	
row_11	UBXN2B	UBX domain protein 2B [Source:HGNC Symbol;Acc:HGNC:27035]	4065	0.5135069489479065	-0.17194751	No	
row_12	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]	4492	0.4589393436908722	-0.19447915	No	
row_13	ANKRD53	ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]	4563	0.4489174783229828	-0.19603805	No	
row_14	CEP126	centrosomal protein 126 [Source:HGNC Symbol;Acc:HGNC:29264]	4570	0.44803208112716675	-0.19382133	No	
row_15	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	4938	0.4076962172985077	-0.21316169	No	
row_16	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	5124	0.383188396692276	-0.22189128	No	
row_17	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	5233	0.3673291802406311	-0.22616322	No	
row_18	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	5359	0.34958308935165405	-0.23154125	No	
row_19	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	5499	0.33274683356285095	-0.23784292	No	
row_20	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	5502	0.3319344222545624	-0.23605615	No	
row_21	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	5512	0.331155925989151	-0.23468737	No	
row_22	FGF10	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]	5676	0.3085804283618927	-0.24254552	No	
row_23	OFD1	OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]	5741	0.30031225085258484	-0.24460278	No	
