NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	35	3.0774035453796387	0.007239089	No	
row_1	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	154	2.4357213973999023	0.0075861556	No	
row_2	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	356	1.897327184677124	0.0013541912	No	
row_3	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	593	1.623725175857544	-0.0077931783	No	
row_4	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	636	1.594511866569519	-0.005464933	No	
row_5	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	714	1.5101319551467896	-0.005478696	No	
row_6	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	890	1.380866527557373	-0.0117258495	No	
row_7	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	1220	1.1900700330734253	-0.027730951	No	
row_8	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	1340	1.1448373794555664	-0.031355236	No	
row_9	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	2056	0.9068861603736877	-0.07122753	No	
row_10	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	2058	0.9063519239425659	-0.06854063	No	
row_11	ABRAXAS1	abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]	2072	0.9014281034469604	-0.06658397	No	
row_12	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]	2217	0.8701639175415039	-0.07253081	No	
row_13	TOGARAM2	TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]	2421	0.8340522646903992	-0.08210402	No	
row_14	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	2643	0.7823030352592468	-0.092907004	No	
row_15	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	2698	0.7695740461349487	-0.09379386	No	
row_16	NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	2707	0.768334686756134	-0.09194246	No	
row_17	LRP5	LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]	2906	0.7273029685020447	-0.1015411	No	
row_18	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	3435	0.6169880032539368	-0.13114499	No	
row_19	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	3509	0.604599118232727	-0.13366434	No	
row_20	CUL9	cullin 9 [Source:HGNC Symbol;Acc:HGNC:15982]	3510	0.6044809222221375	-0.13183258	No	
row_21	EPGN	epithelial mitogen [Source:HGNC Symbol;Acc:HGNC:17470]	3870	0.5409479141235352	-0.15159298	No	
row_22	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	3941	0.5301705002784729	-0.15415904	No	
row_23	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	3974	0.5246581435203552	-0.15447667	No	
row_24	UBXN2B	UBX domain protein 2B [Source:HGNC Symbol;Acc:HGNC:27035]	4065	0.5135069489479065	-0.15828541	No	
row_25	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	4096	0.5088075399398804	-0.15853184	No	
row_26	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]	4492	0.4589393436908722	-0.18068667	No	
row_27	ANKRD53	ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]	4563	0.4489174783229828	-0.18349895	No	
row_28	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	4580	0.44727882742881775	-0.18309732	No	
row_29	L3MBTL1	L3MBTL histone methyl-lysine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15905]	4799	0.42727720737457275	-0.19479729	No	
row_30	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	4949	0.40650686621665955	-0.2024472	No	
row_31	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	5124	0.383188396692276	-0.21165799	No	
row_32	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	5161	0.37787702679634094	-0.21265884	No	
row_33	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	5233	0.3673291802406311	-0.21577796	No	
row_34	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	5359	0.34958308935165405	-0.22216976	No	
row_35	USP44	ubiquitin specific peptidase 44 [Source:HGNC Symbol;Acc:HGNC:20064]	5488	0.3341299295425415	-0.22878718	No	
row_36	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	5502	0.3319344222545624	-0.22855625	No	
row_37	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	5509	0.33131977915763855	-0.22790991	No	
row_38	HOXA13	homeobox A13 [Source:HGNC Symbol;Acc:HGNC:5102]	5693	0.3066568672657013	-0.2378891	No	
row_39	OFD1	OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]	5741	0.30031225085258484	-0.23978068	No	
row_40	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	5869	0.2856391668319702	-0.24648546	No	
row_41	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]	6102	0.258030503988266	-0.25953284	No	
row_42	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	6327	0.2301177829504013	-0.27218792	No	
row_43	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	6341	0.228650763630867	-0.27226996	No	
row_44	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	6507	0.20924308896064758	-0.28147137	No	
row_45	BRD7	bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]	6517	0.20759576559066772	-0.28137878	No	
row_46	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	6680	0.1889033317565918	-0.290463	No	
row_47	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	6741	0.18122796714305878	-0.29349038	No	
row_48	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	6841	0.16955414414405823	-0.29887787	No	
row_49	FBXW5	F-box and WD repeat domain containing 5 [Source:HGNC Symbol;Acc:HGNC:13613]	7127	0.13460662961006165	-0.3154585	No	
row_50	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	7145	0.13222593069076538	-0.31607118	No	
row_51	SIRT7	sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]	7239	0.12033423036336899	-0.32125017	No	
row_52	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	7310	0.11430111527442932	-0.32507643	No	
row_53	CCDC8	coiled-coil domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25367]	7325	0.1122259572148323	-0.32557088	No	
row_54	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	7441	0.1002839207649231	-0.33212203	No	
row_55	MAP9	microtubule associated protein 9 [Source:HGNC Symbol;Acc:HGNC:26118]	7493	0.09487470984458923	-0.3348746	No	
row_56	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	7617	0.08321089297533035	-0.34195435	No	
row_57	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	7619	0.08300203830003738	-0.34176242	No	
row_58	EML4	EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]	7627	0.08226621896028519	-0.3419304	No	
row_59	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	7646	0.08003225922584534	-0.34276083	No	
row_60	CHMP4A	charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]	7814	0.06544665992259979	-0.35251722	No	
row_61	CTDP1	CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]	7834	0.06288846582174301	-0.3534592	No	
