NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTN3	netrin 3 [Source:HGNC Symbol;Acc:HGNC:8030]	140	2.487628221511841	0.08377436	Yes	
row_1	TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1 [Source:HGNC Symbol;Acc:HGNC:11866]	233	2.166649103164673	0.15849371	Yes	
row_2	NTN5	netrin 5 [Source:HGNC Symbol;Acc:HGNC:25208]	299	2.001481294631958	0.22868842	Yes	
row_3	PLXNA4	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]	337	1.9313021898269653	0.29792926	Yes	
row_4	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	344	1.9181528091430664	0.36850068	Yes	
row_5	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	491	1.7280991077423096	0.42384008	Yes	
row_6	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	508	1.7144086360931396	0.48629206	Yes	
row_7	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	772	1.4627647399902344	0.52496386	Yes	
row_8	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	900	1.3757789134979248	0.56838983	Yes	
row_9	HOXA2	homeobox A2 [Source:HGNC Symbol;Acc:HGNC:5103]	925	1.3575962781906128	0.61717993	Yes	
row_10	RNF165	ring finger protein 165 [Source:HGNC Symbol;Acc:HGNC:31696]	2280	0.8599160313606262	0.5696221	No	
row_11	LHX4	LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]	3990	0.5227862596511841	0.4887937	No	
row_12	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	4479	0.4609483480453491	0.47723722	No	
row_13	PLXNA3	plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]	5232	0.3673401474952698	0.4467475	No	
row_14	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	6211	0.2449832558631897	0.3984887	No	
row_15	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	7884	0.05887297913432121	0.30267572	No	
row_16	CHN1	chimerin 1 [Source:HGNC Symbol;Acc:HGNC:1943]	8240	0.02380022034049034	0.28275046	No	
row_17	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	8646	0.0	0.2590149	No	
row_18	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	9723	-0.10599503666162491	0.19987361	No	
row_19	MYCBP2	MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]	9909	-0.12517569959163666	0.19365977	No	
row_20	CDK5	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	9959	-0.12984997034072876	0.19558921	No	
row_21	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	11171	-0.2608626186847687	0.13426225	No	
row_22	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	12338	-0.39151403307914734	0.08040336	No	
row_23	KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	13947	-0.602950930595398	0.008458278	No	
row_24	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	15467	-0.9366514086723328	-0.04593237	No	
row_25	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	16144	-1.2478440999984741	-0.039411627	No	
row_26	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	16157	-1.2569234371185303	0.006359431	No	
row_27	SEMA3A	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	16223	-1.3052629232406616	0.050811686	No	
