NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	197	2.2782609462738037	0.053921822	Yes	
row_1	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	248	2.1283116340637207	0.11215634	Yes	
row_2	PLXNA4	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]	337	1.9313021898269653	0.16249998	Yes	
row_3	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	344	1.9181528091430664	0.21727537	Yes	
row_4	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	549	1.6613885164260864	0.2530578	Yes	
row_5	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	761	1.4708411693572998	0.2829534	Yes	
row_6	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	900	1.3757789134979248	0.31439868	Yes	
row_7	SEMA4G	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	910	1.3719398975372314	0.35330006	Yes	
row_8	FLRT3	fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]	991	1.3184232711791992	0.38649893	Yes	
row_9	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	1188	1.2048137187957764	0.40962875	Yes	
row_10	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	1207	1.1946552991867065	0.44290712	Yes	
row_11	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	1351	1.1394531726837158	0.4672672	Yes	
row_12	SEMA7A	semaphorin 7A (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	1417	1.1155400276184082	0.49551502	Yes	
row_13	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	1908	0.951286792755127	0.49411413	Yes	
row_14	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	2218	0.8701120018959045	0.5009967	Yes	
row_15	SEMA3D	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	2440	0.8311606645584106	0.51192147	Yes	
row_16	SEMA6B	semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]	2664	0.776495635509491	0.52115786	Yes	
row_17	SEMA6C	semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]	2716	0.7663156390190125	0.5401902	Yes	
row_18	ROBO1	roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]	2991	0.7095099091529846	0.54451007	Yes	
row_19	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]	3543	0.5982749462127686	0.52938575	Yes	
row_20	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	3658	0.5758390426635742	0.53924865	Yes	
row_21	SEMA6A	semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]	3753	0.5608343482017517	0.5498534	Yes	
row_22	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	3941	0.5301705002784729	0.55412203	Yes	
row_23	SEMA4A	semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729]	3997	0.5220960378646851	0.5659009	Yes	
row_24	SEMA4F	ssemaphorin 4F [Source:HGNC Symbol;Acc:HGNC:10734]	4129	0.5052536129951477	0.5727381	Yes	
row_25	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	4137	0.5037965774536133	0.58680654	Yes	
row_26	FLRT2	fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]	5139	0.3810492157936096	0.5390447	No	
row_27	PLXNA3	plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]	5232	0.3673401474952698	0.5442057	No	
row_28	RYK	receptor like tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10481]	5831	0.2897038757801056	0.5174564	No	
row_29	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	6801	0.17468303442001343	0.46564057	No	
row_30	LGR6	leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719]	8559	0.0	0.36258468	No	
row_31	SEMA6D	semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]	8754	-0.006585528142750263	0.35139498	No	
row_32	EPHA7	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	8811	-0.013480555266141891	0.34849778	No	
row_33	SEMA3E	semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]	8919	-0.025646492838859558	0.3429588	No	
row_34	SEMA4C	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]	9639	-0.09797395020723343	0.303602	No	
row_35	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	9723	-0.10599503666162491	0.30177996	No	
row_36	SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	10619	-0.20030833780765533	0.25504103	No	
row_37	ROBO2	roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250]	11449	-0.2902700901031494	0.21475878	No	
row_38	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	11839	-0.3358853757381439	0.20159547	No	
