NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DRAXIN	dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]	92	2.660065174102783	0.08539868	Yes	
row_1	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	344	1.9181528091430664	0.13614856	Yes	
row_2	ARHGAP4	Rho GTPase activating protein 4 [Source:HGNC Symbol;Acc:HGNC:674]	530	1.6838226318359375	0.18277113	Yes	
row_3	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	549	1.6613885164260864	0.2384227	Yes	
row_4	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	761	1.4708411693572998	0.27625078	Yes	
row_5	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	900	1.3757789134979248	0.31511566	Yes	
row_6	SEMA4G	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	910	1.3719398975372314	0.36141548	Yes	
row_7	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	1207	1.1946552991867065	0.3848313	Yes	
row_8	SEMA7A	semaphorin 7A (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	1417	1.1155400276184082	0.4106494	Yes	
row_9	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1523	1.0778216123580933	0.44127974	Yes	
row_10	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	2093	0.8965706825256348	0.43850946	Yes	
row_11	SEMA3D	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	2440	0.8311606645584106	0.44658577	Yes	
row_12	SEMA6B	semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]	2664	0.776495635509491	0.4600103	Yes	
row_13	SEMA6C	semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]	2716	0.7663156390190125	0.48317534	Yes	
row_14	MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]	3085	0.6875841617584229	0.4850607	Yes	
row_15	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]	3543	0.5982749462127686	0.47867778	Yes	
row_16	KIAA0319	KIAA0319 [Source:HGNC Symbol;Acc:HGNC:21580]	3693	0.5703399181365967	0.4894059	Yes	
row_17	TRIM46	tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]	3743	0.5624634623527527	0.5057303	Yes	
row_18	SEMA6A	semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]	3753	0.5608343482017517	0.52434504	Yes	
row_19	SEMA4A	semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729]	3997	0.5220960378646851	0.5279133	Yes	
row_20	SEMA4F	ssemaphorin 4F [Source:HGNC Symbol;Acc:HGNC:10734]	4129	0.5052536129951477	0.5374755	Yes	
row_21	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	4137	0.5037965774536133	0.5542608	Yes	
row_22	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	4976	0.40340378880500793	0.5188804	No	
row_23	PLXNA3	plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]	5232	0.3673401474952698	0.5164626	No	
row_24	PTPRS	protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]	5598	0.3201115131378174	0.5059812	No	
row_25	RYK	receptor like tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10481]	5831	0.2897038757801056	0.5022625	No	
