NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPYSL5	dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637]	25	3.2307493686676025	0.018567696	Yes	
row_1	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	55	2.915926933288574	0.03494481	Yes	
row_2	DRAXIN	dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]	92	2.660065174102783	0.04931952	Yes	
row_3	NTN3	netrin 3 [Source:HGNC Symbol;Acc:HGNC:8030]	140	2.487628221511841	0.06197258	Yes	
row_4	VSTM2L	V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]	232	2.1684365272521973	0.07003856	Yes	
row_5	TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1 [Source:HGNC Symbol;Acc:HGNC:11866]	233	2.166649103164673	0.0834838	Yes	
row_6	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	248	2.1283116340637207	0.09586185	Yes	
row_7	EFNB1	ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226]	255	2.093291759490967	0.108496465	Yes	
row_8	NTN5	netrin 5 [Source:HGNC Symbol;Acc:HGNC:25208]	299	2.001481294631958	0.118369654	Yes	
row_9	PLXNA4	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]	337	1.9313021898269653	0.12816276	Yes	
row_10	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	344	1.9181528091430664	0.13971053	Yes	
row_11	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	406	1.8370788097381592	0.1474973	Yes	
row_12	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	452	1.7721219062805176	0.15582871	Yes	
row_13	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	491	1.7280991077423096	0.1643016	Yes	
row_14	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	508	1.7144086360931396	0.1739927	Yes	
row_15	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	549	1.6613885164260864	0.18193312	Yes	
row_16	BCL11B	BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222]	570	1.644667625427246	0.19095449	Yes	
row_17	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	593	1.623725175857544	0.19972743	Yes	
row_18	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	638	1.5923069715499878	0.20700224	Yes	
row_19	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	674	1.5593169927597046	0.21460544	Yes	
row_20	NEO1	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]	706	1.5189526081085205	0.2221951	Yes	
row_21	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	747	1.4849269390106201	0.22904049	Yes	
row_22	TUBB2B	tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]	755	1.478388786315918	0.23780006	Yes	
row_23	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	761	1.4708411693572998	0.24663126	Yes	
row_24	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	772	1.4627647399902344	0.25511616	Yes	
row_25	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	774	1.461588978767395	0.2641269	Yes	
row_26	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	846	1.4147839546203613	0.26870075	Yes	
row_27	MEGF8	multiple EGF like domains 8 [Source:HGNC Symbol;Acc:HGNC:3233]	867	1.3991706371307373	0.27619866	Yes	
row_28	PLXNB3	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	899	1.3760254383087158	0.28290138	Yes	
row_29	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	900	1.3757789134979248	0.29143885	Yes	
row_30	CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	908	1.3721039295196533	0.29953885	Yes	
row_31	SEMA4G	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	910	1.3719398975372314	0.30799323	Yes	
row_32	HOXA2	homeobox A2 [Source:HGNC Symbol;Acc:HGNC:5103]	925	1.3575962781906128	0.3155886	Yes	
row_33	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	941	1.347011685371399	0.32305902	Yes	
row_34	FLRT3	fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]	991	1.3184232711791992	0.32833806	Yes	
row_35	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	1005	1.3094472885131836	0.33569384	Yes	
row_36	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	1019	1.3001567125320435	0.34299198	Yes	
row_37	FEZ1	fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659]	1033	1.292467713356018	0.35024238	Yes	
row_38	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1060	1.2738622426986694	0.3566073	Yes	
row_39	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	1100	1.2488304376602173	0.3620468	Yes	
row_40	UNC5B	unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568]	1107	1.2451438903808594	0.3694182	Yes	
row_41	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	1133	1.2313569784164429	0.37557858	Yes	
row_42	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	1166	1.2156893014907837	0.38122708	Yes	
row_43	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	1207	1.1946552991867065	0.38627118	Yes	
row_44	ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]	1228	1.1860939264297485	0.39244685	Yes	
row_45	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	1290	1.1589791774749756	0.39602563	Yes	
row_46	PLXNA1	plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]	1314	1.1532329320907593	0.40181968	Yes	
row_47	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	1351	1.1394531726837158	0.40675816	Yes	
row_48	SEMA7A	semaphorin 7A (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	1417	1.1155400276184082	0.40983045	Yes	
row_49	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	1462	1.0971872806549072	0.41403276	Yes	
row_50	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	1505	1.0836430788040161	0.41826952	Yes	
row_51	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	1704	1.0107275247573853	0.41281316	Yes	
row_52	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	1879	0.9603651762008667	0.4084659	Yes	
row_53	PRKCQ	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	1923	0.9476040005683899	0.41179922	Yes	
row_54	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	1924	0.9470245838165283	0.41767603	Yes	
row_55	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	2004	0.9240875840187073	0.41873094	Yes	
row_56	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	2025	0.9184786081314087	0.4232459	Yes	
row_57	ISL2	ISL LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18524]	2206	0.8717814087867737	0.41799355	Yes	
row_58	RNF165	ring finger protein 165 [Source:HGNC Symbol;Acc:HGNC:31696]	2280	0.8599160313606262	0.41900566	Yes	
row_59	SEMA3D	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	2440	0.8311606645584106	0.41474515	Yes	
row_60	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	2566	0.8030639290809631	0.41232428	Yes	
row_61	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	2582	0.8001455664634705	0.4164011	Yes	
row_62	GDF7	growth differentiation factor 7 [Source:HGNC Symbol;Acc:HGNC:4222]	2633	0.7844703197479248	0.41830742	Yes	
row_63	SEMA6B	semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]	2664	0.776495635509491	0.42134896	Yes	
row_64	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	2683	0.7725321054458618	0.42507672	Yes	
row_65	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	2705	0.768351137638092	0.42860085	Yes	
row_66	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	2706	0.7683477401733398	0.43336886	Yes	
row_67	SEMA6C	semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]	2716	0.7663156390190125	0.43759114	Yes	
