NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	35	3.0774035453796387	0.22825015	Yes	
row_1	HTR2A	5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293]	459	1.7644325494766235	0.33551705	Yes	
row_2	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	890	1.380866527557373	0.41366944	Yes	
row_3	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	992	1.3182363510131836	0.506405	Yes	
row_4	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	1054	1.2765834331512451	0.5983664	Yes	
row_5	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1060	1.2738622426986694	0.6934041	Yes	
row_6	ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]	3202	0.6620844006538391	0.61754906	No	
row_7	ARNT	aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]	4435	0.46618059277534485	0.5802754	No	
row_8	MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	4956	0.4057396352291107	0.58018184	No	
row_9	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	5251	0.3640556335449219	0.5902061	No	
row_10	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	5908	0.28197798132896423	0.5728849	No	
row_11	RPTOR	regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287]	8397	0.008525918237864971	0.42779577	No	
row_12	PRXL2C	peroxiredoxin like 2C [Source:HGNC Symbol;Acc:HGNC:16881]	9170	-0.051271483302116394	0.38641512	No	
row_13	MLST8	MTOR associated protein, LST8 homolog [Source:HGNC Symbol;Acc:HGNC:24825]	9275	-0.06265831738710403	0.38501272	No	
row_14	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	10040	-0.13927873969078064	0.35068673	No	
row_15	P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	10141	-0.15112969279289246	0.35613945	No	
row_16	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	11727	-0.3226969242095947	0.28745213	No	
row_17	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	12028	-0.35559216141700745	0.29649156	No	
