NAME	TITLE	SCORE	
INPP5D	inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]	4.106708	
DUX4L50	double homeobox 4 like 50 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51788]	4.0391045	
SMIM10L2A	small integral membrane protein 10 like 2A [Source:HGNC Symbol;Acc:HGNC:34499]	3.9716907	
FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	3.967227	
CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]	3.9358041	
PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	3.9043565	
DPEP2	dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:23028]	3.814512	
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	3.8094742	
KCNJ9	potassium inwardly rectifying channel subfamily J member 9 [Source:HGNC Symbol;Acc:HGNC:6270]	3.695466	
TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]	3.685162	
SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	3.6717253	
NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	3.6494288	
HYDIN	HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	3.6060598	
SLC52A1	solute carrier family 52 member 1 [Source:HGNC Symbol;Acc:HGNC:30225]	3.5747647	
CACNA1I	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	3.53707	
CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	3.517473	
PALM	paralemmin [Source:HGNC Symbol;Acc:HGNC:8594]	3.479253	
GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	3.4665394	
BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	3.4477699	
EEF1B2P6	eukaryotic translation elongation factor 1 beta 2 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:51453]	3.403285	
ANKRD24	ankyrin repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:29424]	3.3585405	
CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	3.3476672	
SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	3.329011	
SULF2	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	3.3244312	
AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	3.2367003	
DPYSL5	dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637]	3.2307494	
ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	3.2241755	
HERC2P7	HERC2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:4875]	3.212753	
ALOX5AP	arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]	3.1515388	
REM2	RRAD and GEM like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:20248]	3.1424127	
DMRTA1	DMRT like family A1 [Source:HGNC Symbol;Acc:HGNC:13826]	3.1337576	
MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	3.1308072	
DAPK1	death associated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:2674]	3.1268787	
HS6ST1P1	heparan sulfate 6-O-sulfotransferase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31835]	3.111689	
CORIN	corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]	3.109926	
IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	3.0774035	
DNAI7	dynein axonemal intermediate chain 7 [Source:HGNC Symbol;Acc:HGNC:29599]	3.0771933	
CABCOCO1	ciliary associated calcium binding coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28678]	3.064847	
POU3F1	POU class 3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9214]	3.0352783	
KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:6242]	3.0251389	
TSPAN18	tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]	3.0250762	
VWCE	von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:HGNC:26487]	3.016481	
TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	3.0136552	
PIDD1	p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:HGNC:16491]	3.0032015	
PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746]	3.001534	
WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30916]	2.9857953	
MARVELD3	MARVEL domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30525]	2.9820867	
CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	2.977802	
FSCN2	fascin actin-bundling protein 2, retinal [Source:HGNC Symbol;Acc:HGNC:3960]	2.9593692	
MFAP5	microfibril associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]	2.9533553	
FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	2.9499178	
GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768]	2.9439576	
FAM228A	family with sequence similarity 228 member A [Source:HGNC Symbol;Acc:HGNC:34418]	2.9423928	
DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	2.9416559	
CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	2.9363866	
LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	2.915927	
LRATD2	LRAT domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24166]	2.9108784	
CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	2.9108186	
TBC1D10C	TBC1 domain family member 10C [Source:HGNC Symbol;Acc:HGNC:24702]	2.9054666	
ANKRD33B	ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240]	2.9024684	
SOWAHD	sosondowah ankyrin repeat domain family member D [Source:HGNC Symbol;Acc:HGNC:32960]	2.9018476	
MUC5B	mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]	2.8931684	
HAS3	hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]	2.8816357	
PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	2.8810122	
NATD1	N-acetyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30770]	2.8722434	
MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	2.8714833	
CETN4P	centrin 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:35450]	2.8697948	
CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	2.8681886	
NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	2.8320596	
ETV7	ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]	2.8187394	
WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	2.7947452	
INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	2.7904873	
KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	2.783005	
CILP2	cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:HGNC:24213]	2.7804837	
